title,price
"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8 GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005EIN",24990
"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg), 21JRS0H200",56400
"Dell Inspiron 14 7440 2-in-1 Laptop - 14 inch Touch FHD+ (35.56cm) Display, Intel Core i5-1334U, 16 GB RAM, 512 GB SSD, Ice Blue, 1.71Kg, Ideal for Students, Perfect for Learning and Productivity",70490
"(Refurbished) Dell Precision 5530 Intel Core i7 - 8850H Hexa Core Processor 8th Gen, 64 GB Ram & 1TB SSD, 15.6 Inches FHD Screen with Nvidia Quadro P1000 (4GB Graphic Card) Ultrathin Laptop",54999
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black",201990
"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 5 125H(14-inch IPS Touchscreen WUXGA/16GB/512GB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO)SFG14-73T, Pure Silver, 1.3kg",79890
"HP Laptop 250 G9 (2024), Intel Core i3 12th Gen 1215U - (8GB/512GB SSD/Intel Iris Xe Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.57 kg/MS Office 2021",32500
"(Refurbished) HP Elitebook 745 G5| AMD Ryzen 5 Pro 2500U Laptop ( 16 GB DDR4 RAM | 512 GB SSD | 14"" (35.6 cm) HD | Windows 11 | MS Office | WiFi | BT | Webcam | AMD Radeon Graphics)",22499
"ASUS Zenbook 14, Intel Core Ultra 7, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (16GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Foggy Silver/1.28 Kg), UX3405MA-PZ751WS",99990
"Samsung Galaxy Book4 (Silver, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 7 150U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",70929
"(Refurbished) Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 1TB, NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Win 11 + MSO'21, Dark Shadow Gray, 2.65kg",63741
"Dell Inspiron 5630 13th Gen Laptop, Intel Core i5-1340P Processor/16Gb LPDDR5/512GB /16.0"" (40.64cm) FHD+ WVA AG 250 nits/Backlit KB + FPR/Windows 11+ MSO'21/McAfee 15 Months/Platinum Silver/1.85kg",64490
"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 8GB Ram/ 256GB SSD/DOS/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA, Anti-Glare WLED/Black/1 Year Onsite Warranty",23900
"ASUS TUF Gaming A16 Advantage Edition, 16"" FHD+ 144Hz 300nits, AMD Ryzen 7 7435HS Processor, Gaming Laptop (16GB RAM/512GB SSD/AMD Radeon RX 7600S/Windows 11/Off Black/2.2 Kg), FA617NSR-RL083W",79990
"HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/MS Office 2021",28399
"HP Victus, AMD Ryzen 7 8845HS, 16GB DDR5, 512GB SSD, 6GB NVIDIA RTX 4050, (Win 11, Office 21, Blue, 2.3kg) 144Hz, IPS, 15.6-inch(39.6 cm) Flicker-Free FHD Gaming Laptop, Enhanced Cooling, fb2114AX",87990
"HP Pavilion, AMD Ryzen 5 7530U, 8GB DDR4, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, AMD Radeon Graphics, HD Camera, Backlit KB (Win 11, Office 21, Silver, 1.75kg) eh3036AU",46990
"(Refurbished) Lenovo Thinkpad Touchscreen Laptop T480 Intel Core i5 8th Generation - 8350u Processor 8 GB Ram & 256 GB SSD, 14 Inches Notebook Computer",18600
"(Refurbished) Acer Chromebook Intel Celeron N4500 Processor (Chrome OS/8 GB RAM/128 GB eMMC/WiFi 6) CB315-4H with 39.6 cm (15.6"") Full HD LED Backlit TFT LCD, Silver, 1.6 KG",14400
"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 16"" (40.64cm) WUXGA-IPS 300Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/100%sRGB/MSO/1Yr ADP Free/3 month Game Pass/Grey/1.8Kg), 83DC007LIN",75490
"HP Victus Gaming Laptop,12th Gen Intel Core i5-12450H,4GB RTX 3050 GPU,15.6-inch(39.6 cm),FHD,IPS,16GB DDR4,512GB SSD,Backlit KB,Dual Speakers (MSO, Blue,2.37 kg),fa0555tx",65900
"ASUS TUF Gaming F15, Intel Core i7 12700H 12th Gen, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/90WHr/Jaeger Gray/2.2 Kg), FX577ZC-HN193W",74990
"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/Arctic Grey/1.65 Kg), 82YU00W7IN",27960
"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021/Backlit KB/Cool Silver/1.7 kg), X1504ZA-NJ322WS",31700
"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 8‑core GPU, 16GB Unified Memory, 256GB) - Starlight",108006
"Dell Inspiron 3520 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD Display- 3 Side Narrow Border, Win 11 + MSO'21, 2 Tuned Speakers, Black, Thin & Light-1.65Kg",46990
"Lenovo Ideapad 5 2-in-1 AMD Ryzen 5 8645HS 14"" (35.5cm) WUXGA IPS 300Nits Convertible Laptop (16GB/512GB SSD/Win 11/Office 21/Backlit KB/FPR/FHD Camera/Alexa/3 Mon.Game Pass/Grey/1.6kg), 83DR003DIN",72490
"Lenovo V15 AMD Ryzen 5 7520U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/DOS/Arctic Grey/1.65 Kg), 82YU00W9IN",30930
"HP Laptop 15, 12th Gen Intel® Core™ i3-1215U,15.6-inch(39.6 cm),FHD,Anti-Glare,MSO,8GB DDR4 (3200MHz),512GB SSD,Dual Speakers,Windows 11,Natural Silver,1.69kg, 15s-fq5007TU",36000
"MSI Modern 15 H, Intel 13th Gen i9-13900H, 40CM Thin & Light Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Intel Xe Graphics/Classic Black/1.9Kg), C13M-079IN",71990
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (16.2″) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",239990
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i3 15.6"" (39.6cm) FHD Laptop (8GB/512GB SSD/Win 11/Office 2021/1 Year Warranty/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 82X70034IN",37990
(Refurbished) Dell Latitude 5420 11th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/BT/Intel Iris Xe Graphics),29490
"HP Spectre x360 AI Laptop, Intel Ultra 7 155H, 12 TOPS, 32GB DDR5, 2TB SSD, (Win 11, Office 21, Black, 2kg), Touchscreen, 2.8K, OLED, 16-inch(40.6cm), Intel Arc graphics, 9MP camera, Backlit, aa0665TU",186590
"(Refurbished) Lenovo Thinkpad T14s, i7-10510U, FHD(1920 x 1080),16GB DDR4 RAM, 1TB NVMe SSD, Bklit, W10P, 3Yrs wty",38990
"(Refurbished) HP Elitebook Laptop 840G5 Intel Core i5 - 8350u Processor 8th Gen, 8 GB Ram & 256 GB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.54KG) Notebook Computer",24989
"HP 15s AMD Ryzen 5 5500u (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) + Backlit Keyboard/Silver / 1.69 kg/Dual Speakers) eq2304AU / Laptop",37470
"HP Pavilion Plus 16, 13th Gen Intel Core i7-13700H, 16-inch (40.6 cm), WQXGA, 400 nits, 16GB LPDDR5x, 512GB SSD, 6GB RTX 3050 GPU, 5 MP camera, Backlit KB (Win 11, MSO 2021, Silver, 1.89 kg), ab0016TX",105990
"Lenovo Legion 7 Intel Core i9-14900HX 16"" (40.64cm) 3.2K IPS 430Nits 165Hz Gaming Laptop (16GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4060 8GB/100% DCI-P3/3 Month Game Pass/Grey/2.24Kg), 83FD000YIN",176990
"(Refurbished) HP 440 G5 7th Gen Intel i5 & Light HD Laptop ( 16 GB DDR4 RAM | 512 GB SSD | 14 ""(35.6 cm) HD | Windows 11 | MS Office | Wifi | BT | Webcam | Intel HD Graphics)",19999
"(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light FHD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) FHD/Windows 11/WiFi/Bluetooth 4.1/Webcam/Integrated Graphics)",15589
"(Refurbished) Dell Latitude E5470 6th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM|512 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|BT|Intel HD Graphics)",18999
"ASUS X515, 15.6"" FHD (1920 x 1080) 16:9, 60Hz 200nits, Intel Pentium Gold 7505, Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home/37WHr Battery/Transparent Silver/1.80 kg), X1500EA-EJ122WS",25990
ASUS Vivobook 15 X1504ZA-NJ321WS Intel®Core™ i3-1215U / 8GB DDR4 / 512GB PCIe® 3.0 SSD / 15.6-inch/FHD 16:9 / Quiet Blue/Backlit KB/Win 11 Home/MS Office,31875
(Refurbished) HP 840g2 EliteBook Laptop ( Intel Core i5 - 5300u /16 GB/2000 GB HDD/Windows 10 Pro/Black /14 Inch Screen),18990
"HP Victus AMD Ryzen 5 5600H (Rx 6500M/16GB Ram/1Tb SSD/Fhd/Windows 11/Backlit Keyboard/15.6"" (39.6 Cm)/Blue/2.29Kg) Fb0150Ax Laptop",56599
(Refurbished) Lenovo ThinkPad T495 AMD Ryzen 7 Pro Thin & Light HD Touchscreen Laptop (16 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/AMD Radeon Graphics),23999
"(Renewed) Dell Latitude Laptop E5470 Intel Core i5 6th Gen. - 6200u Processor, 16 GB Ram & 512 GB SSD, 14.1 Inches HD Screen Notebook Computer",17474
"Acer Aspire 3 AMD Ryzen 7-7730U Processor Laptop with 39.62 cm (15.6"") Full HD LED IPS Display (16 GB RAM/1 TB SSD/WiFi 6/AMD Graphics/Win11 Home/55Wh) A325-42, Backlit Keyboard, Pure Silver, 1.79KG",44990
"ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 165Hz, Gaming Laptop (16GB/1TB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-NY039W",60690
HP 250R G9/G8 Laptop (13th Gen Intel Core i3-1315U/8GB DDR4 Ram / 512GB SSD/Windows 11/39.62 cm (15.6 inch) HD/Intel UHD Graphics) Dark Ash Grey,31990
"Lenovo Yoga Slim 6 Intel Core i7 13700H 14""(35.5cm)WUXGA OLED 400Nit Laptop(16GB/512GB SSD/60Hz Refresh/Win 11/Office 2021/Backlit KB/1Yr Warranty/Alexa/3 month Game Pass/Storm Grey/1.35Kg),83E00007IN",89990
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i7-13620H with RTX 4050 6 GB Graphics (16 GB DDR5/1 TB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-51, 39.6 cm (15.6"") Full HD IPS Display, 2.1 KG",93990
"Acer Chromebook Intel Celeron Dual-Core N4500 (Chrome OS/8 GB/64 GB eMMC) CB314-3H with 35.5 cm (14"") HD Display, Pure Silver, 1.45 KG",16990
"HP OMEN, 14th Gen Intel Core i7-14650HX, 8GB NVIDIA RTX 4060, 16GB DDR5, 1TB SSD, (Win11, Office21, Black, 2.39kg), 144Hz, IPS, 16.1-inch(40.9cm) Gaming Laptop, Tempest Cooling, Backlit KB, wf1096TX",129990
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 1TB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fq5328TU",40500
"Lenovo V15 Portable Laptop, 15.6"" FHD Anti-Glare Display, Business and Everyday Use, Intel Dual Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",24970
Lenovo V15 G3 IAP Laptop RYZEN 3-7320u / 8GB DDR4 / 512 GB SSD PCIe / 15.60 FHD TN Display/Windows 11 / Silver (Grey) / 1 Year Onsite Warranty,27460
"AVITA Laptop PURA S101 14"" INCH CELERON 8GB RAM, 256GB SSD",17415
(Refurbished) Lenovo ThinkPad E14 10th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11 Pro/MS Office/WiFi/Webcam/Intel UHD Graphics),23499
"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/NVIDIA RTX 4050 6GB/100% sRGB/Win 11/Office 2021/3 Month Game Pass/Grey/2.4Kg), 83GS003VIN",73990
"(Renewed) Dell Latitude Laptop E5480 Intel Core i5 7th Gen. - 7300u Processor, 8 GB Ram & 512 GB SSD, 14.1 inches Full HD Screen Notebook Computer Windows 10 Pro",16589
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6 inch(39.6cm) FHD Laptop(8GB RAM,512GB SSD,Intel UHD Graphics,Alexa,Dual Speakers,Numeric Keypad,Win 11,MSO 211.69 Kgs,Natural Silver) 15s-fr5009TU",35990
"(Refurbished) Lenovo Thinkpad Touchscreen Laptop T480 Intel Core i5 8th Generation - 8350u Processor 8 GB Ram & 256 GB SSD, 14 Inches Notebook Computer",18600
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/FPR/Black/1Y Onsite/1.41 kg), 21JKS0X800",74990
(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/WiFi/Bluetooth/Webcam/Intel Graphics),16000
"Lenovo V15 Intel Core i5 11th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1.7 kg), 82KBA01TIH",42900
"ASUS Zenbook Duo OLED (2024), Dual Screen Laptop, 14"" (35.56cm) FHD OLED Touch Display, Intel Core Ultra 7 155H, Built-in AI, (32GB/1TB SSD/Intel Arc Graphics/Win11/Gray/1.65 Kg), UX8406MA-QL761WS",159990
"HP 247 G8 Laptop (AMD R3-5300U/ 14 Inches /8GB Ram DDR4 /512 GB SSD/Windows 11 Home) One Year Warranty, 600A9Pa",25990
"MSI Cyborg 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 6GB/Translucent Black/1.98Kg), A12UDX-1049IN",71000
"Acer Aspire 3 Spin 14 Intel Core i3 N305 Laptop (Windows 11 Home/8 GB/512 GB/AES Pen Solution/MSO) A3SP14-31PT, Multi-Touch WUXGA Display, 1.54 KG, Obsidian Black",41400
"Lenovo V15 Intel Celeron N4020 15.6 inches FHD Thin & Light Business Laptop (4GB/256GB SSD/Windows 10 Home/Iron Grey/1.85Kg), 82C30053IH",22990
"HP Victus Gaming Laptop, 12th Gen Intel Core i7-12650H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 8GB DDR4, 512GB SSD, Backlit KB, B&O, Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0073TX",81900
"HP Laptop 247 G8 (2024), AMD Ryzen 5 3500U Quad Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Black/1.47 kg/MS Office 2021",31699
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display 16GB Unified Memory, 1TB SSD Storage; Space Black",182990
(Refurbished) Hp EliteBook 840 G3 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD,17200
"ASUS Vivobook 15 (2024), Intel Core 5 Processor 120U, 15.6"" FHD 16:9 60Hz 250nits,(16GB RAM/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Cool Silver/1.7 Kg), X1504VAP-NJ541WS",50990
"(Refurbished) Lenovo ThinkPad X270 7th Gen Intel Core i7 Thin & Light HD Laptop (16 GB DDR4 RAM/1 TB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Webcam/Intel Graphics)",20999
"Realme Book (Slim) Intel Core I3 11Th Gen - (8 Gb/256 Gb Ssd/Windows 10 Home) Rmnb1001 Thin And Light Laptop (14 Inches, Real Gray, 1.38 Kg, With Ms Office) New",29990
(Refurbished) Dell Latitude 3410 10th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel UHD Graphics),19975
"HP 15s Intel Core i3 12th Gen (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) / Silver / 1.69 kg/Dual Speakers) fq5326TU / Laptop",36010
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.6"" (39.6cm) FHD 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa/3 Month Game Pass/Grey/1.62Kg), 83EM0026IN",57990
"Samsung Galaxy Book4 (Silver, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",58990
(Refurbished) Dell Latitude E5470 6th Gen Intel Core i7 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel HD Graphics),16999
"(Refurbished) Dell Latitude Laptop E5470 Intel Core i5 6th Gen. - 6200u Processor, 8 GB Ram & 256 GB SSD, 14.1 Inches HD Screen Notebook Computer",16690
"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UC-1692IN",60250
"Lenovo V15 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Iron Grey/1.7 kg/MS Office 2021 Pro Plus",34740
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 5 125H,Built-in AI, 40CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/MSO 2021/Intel Arc/Classic Black/1.9Kg), C1MG-049IN",53989
"Dell XPS 13 Laptop, On-Device AI with Copilot+, 12 Core Snapdragon X Elite (Dual Core Boost), 13"" (33.02cm) FHD+ 30-120Hz 500 nit, 16GB + 512GB,Qualcomm NPU 45 TOPS, Backlit KB + FPR, Graphite, 1.19kg",141490
"Dell XPS 13 Laptop, On-Device AI with Copilot+, 12 Core Snapdragon X Elite (Dual Core Boost), 13"" (33.02cm) FHD+ 30-120Hz 500 nit, 16GB + 512GB,Qualcomm NPU 45 TOPS, Backlit KB + FPR, Graphite, 1.19kg",141490
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver",167990
"HP Victus, 12th Gen Intel Core i5-12450H, NVIDIA RTX 2050, 16GB DDR4, 1TB SSD (Win11, Office21, Blue,2.37kg), 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Flicker-Free Gaming Laptop, Enhanced Cooling, fa1145TX",65990
AIR Falcon Series Notebook/Laptop PC Intel I3 12Th Gen 8 GB RAM 512 GB SSD with Windows 11,25890
