title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_RAM Size,tech_Hard Drive Interface,tech_Speaker Description,tech_Graphics Coprocessor,tech_Number of HDMI Ports,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Audio Details,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Power Source,tech_Package Dimensions,tech_Optical Drive Type,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Compatible Devices,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Aspect Ratio,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Wireless Type,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Device type,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Lithium Battery Weight,tech_Memory Clock Speed,tech_Number of Lithium Metal Cells,tech_Front Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Number of Microphone Ports,tech_Battery Description,tech_Number of Audio-out Ports
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics), Black","16,000",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0CL49N6TF/ref=sr_1_961?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-961&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,Lenovo ThinkPad,black,Laptop,,,14 Inches,1366 x 768,,1 Lithium Ion batteries required. (included),Lenovo ThinkPad,Intel,Intel Core i5,2.3 GHz,1,DDR3,16 GB,512 GB,SSD,Intel,Integrated,Shared,8 GB,,"Bluetooth, Wi-Fi",,Windows,Yes,54 Watt Hours,4,"Laptop, Power Cord, Battery",China,1 kg 700 g,B0CL49N6TF,"3.6
86 ratings
3.6 out of 5 stars","#47,647 in Computers & Accessories (See Top 100 in Computers & Accessories)
#72 in Sankranti / Pongal Store
#80 in Renewed - Regional New Year
#1,404 in Traditional Laptops",16 October 2023,,,,1.00 count,,1366 x 768 Pixels,8 GB,,,,1,,,,Headphones,,,,48.7 x 42.5 x 6.4 cm; 1.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 Grams,,,,,,,,,
"HP Pavilion 15, AMD Ryzen 5 5625U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, FPR, Backlit KB, Audio by B&O, Thin & Light (Win 11, MSO 2021, Silver, 1.75 kg), eh2047AU","60,990",https://www.amazon.in/HP-Pavilion-15-6-inch-Graphics-eh2047AU/dp/B0BWF381Z8/ref=sr_1_962?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-962&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,15-eh2047au,FHD,Laptop,18 Millimeters,23.4 Centimeters,15.6 Inches,1920 x 1080 pixel,36 x 23.4 x 1.8 cm; 1.75 kg,1 Lithium Ion batteries required. (included),,AMD,Ryzen 5,4.3 GHz,1,DDR4,16 GB,512 GB,SSD,AMD,Integrated,VRAM,,PCI Express,"Bluetooth, Wi-Fi",37.2 Volts,Windows 11 Home,Yes,41 Watt Hours,3,"Laptop, Power Adapter",,1 kg 750 g,B0BWF381Z8,"4.2
145 ratings
4.2 out of 5 stars","#44,334 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,297 in Traditional Laptops",21 February 2023,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",36 x 23.4 x 1.8 Centimeters,1 Unit,Laptop,1920 x 1080 Pixels,16 GB,,Audio by B&O; Dual speakers,AMD Radeon Graphics,1,,8 Hours,,"Headphones, Speakers",,2,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,720 Pixels,,,,,,
"(Refurbished) HP EliteBook 820 G4 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM|256 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel HD Graphics)","17,499",https://www.amazon.in/Refurbished-HP-EliteBook-Windows-Graphics/dp/B0DKT5MHKF/ref=sr_1_963?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-963&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,HP EliteBook 820 G4,,Clamshell,,,12.5 Inches,1366 x 768 pixels,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,2.6 GHz,1,DDR4,16 GB,256 GB,SSD,Intel,Integrated,Shared,,,Wi-Fi,,Windows,Yes,55 Watt Hours,1,"Laptop, Power Cord, Battery",,1 kg 500 g,B0DKT5MHKF,"3.2
8 ratings
3.2 out of 5 stars","#55,998 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,678 in Traditional Laptops",24 October 2024,,,,1.00 count,,1366 x 768 Pixels,,Serial ATA,Built-in speakers,,,,,DDR4 SDRAM,internal,,,,45 x 35 x 15 cm; 1.5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,802.11n,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/Windows 11/3months Game Pass/Arctic Grey/1.63Kg), 82RK011DIN","33,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82RK011DIN/dp/B0CN6F3JX5/ref=sr_1_964?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-964&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,IdeaPad,Arctic Grey,laptop,53.5 Centimeters,33.3 Centimeters,39.62 Centimetres,1920 x 1080 pixel,7.2 x 33.3 x 53.5 cm; 1.63 kg,1 Lithium Polymer batteries required. (included),82RK011DIN,Intel,Core i3,4.4 GHz,6,DDR4,8 GB,256 GB,SSD,Intel,Integrated,DDR4 SDRAM,,Integrated,"Bluetooth, Wi-Fi",,Windows 11,Yes,45 Watt Hours,3,"Laptop, User Manual, Power Adapter",India,1 kg 630 g,B0CN6F3JX5,"4.2
19 ratings
4.2 out of 5 stars","#45,973 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,352 in Traditional Laptops",13 November 2023,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",7.2 x 33.3 x 53.5 Centimeters,1 Piece,Laptop,1920 x 1080,8 GB,,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,1,,7 Hours,DDR4 SDRAM,"Headphones, Speakers",1,2,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,Bluetooth,,,,,,,,,,,,,,5 Hour,,,,,
"(Refurbished) IdeaPad Slim 3 Intel Celeron N4020 4th Gen 15.6-inch (39.62cm) HD 220nits Anti-Glare (8GB/256GB SDD/Windows 11/Office 2021/Platinum Grey/1.7Kg), 81WQ00NXIN","19,499",https://www.amazon.in/Refurbished-Lenovo-Anti-Glare-Platinum-81WQ00NXIN/dp/B0C72HSSG6/ref=sr_1_965?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-965&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,intel,81WQ00NXIN,Platinum Grey,Laptop,20 Millimeters,25.3 Centimeters,15.6 Inches,1366 x 768,36.2 x 25.3 x 2 cm; 1.7 kg,,81WQ00NXIN-cr,Intel,Celeron,2.8 GHz,2,DDR4,8 GB,256 GB,SSD,Intel,Integrated,DDR4 SDRAM,8 GB,,Wi-Fi,,Windows 11 Home,Yes,35 Watt Hours,3,"Laptop, User Manual, Power Adapter",,1 kg 700 g,B0C72HSSG6,"3.4
3 ratings
3.4 out of 5 stars","#56,828 in Computers & Accessories (See Top 100 in Computers & Accessories)
#103 in Sankranti / Pongal Store
#123 in Christmas with Amazon Renewed
#1,714 in Traditional Laptops",4 June 2023,,,36.2 x 25.3 x 2 Centimeters,1 Piece,Laptop,1920 x 1080 Pixels,8 GB,,,Intel UHD Graphics 600,,,4 Hours,,Speakers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,,,,,,,,,,
"(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i5 8th Generation - 8350u Processor 16 GB Ram & 512 GB SSD, 14 Inches Notebook Computer","18,093",https://www.amazon.in/Renewed-Lenovo-Thinkpad-Laptop-Generation/dp/B0B7B81TTV/ref=sr_1_966?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-966&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,T480-cr,,Laptop,0.8 Centimeters,34 Centimeters,14 Inches,1366x768,23.5 x 34 x 0.8 cm; 1.68 kg,,T480-8th-i5-16-512-cr,Intel,Core i5 8250U,1.7 GHz,1,DDR4,16 GB,16 GB,SSD,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,,Windows 10 Pro,No,,,"Laptop , Charger",,1 kg 680 g,B0B7B81TTV,"3.1
3 ratings
3.1 out of 5 stars","#57,254 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,730 in Traditional Laptops",22 July 2022,,,23.5 x 34 x 0.8 Centimeters,1.00 count,,1080p Full HD Pixels,16 GB,,,,,,,,Headphones,,2,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC + 256 GB MicroSD Card | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)","18,490",https://www.amazon.in/Refurbished-HP-MicroSD-Bluetooth-Graphics/dp/B0CX1BCPQZ/ref=sr_1_967?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-967&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,HP Chrome,Silver,"laptop, chromebook",,,14 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,1.7 GHz,1,DDR4,8 GB,64 GB,SSD,Intel,Integrated,Shared,,,"Bluetooth, Wi-Fi",,Windows,Yes,54 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 610 g,B0CX1BCPQZ,"3.6
11 ratings
3.6 out of 5 stars","#63,453 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,947 in Traditional Laptops",4 March 2024,,,,1.00 count,,1920 x 1080 Pixels,,,,,,,,,Headphones,,,,48.1 x 30.6 x 6.4 cm; 1.61 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V14 G3 Laptop (Intel Core i5/ 12th Gen/ 8GB RAM/ 512GB SSD/DOS/ 14"" Inch), Arctic Grey, 1 Year Service Center Carry in Warranty","35,900",https://www.amazon.in/Lenovo-Laptop-Arctic-Service-Warranty/dp/B0DG9CKJ9P/ref=sr_1_968?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-968&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,LCFC,Lenovo V14 G3,Gray,Laptop,,,14 Inches,,,1 Lithium Ion batteries required. (included),,Intel,Core i5,1.3 GHz,1,DDR4,8 GB,512 GB,SSD,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,DOS,Yes,42 Watt Hours,2,Laptop charger,,1 kg 430 g,B0DG9CKJ9P,"2.6
28 ratings
2.6 out of 5 stars","#45,294 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,329 in Traditional Laptops",6 September 2024,Lenovo India,Lenovo India,,1 Count,Laptop,,,,,Intel UHD Graphics,,,3.5 Hours,,,2,1,,48.79 x 29.8 x 7.2 cm; 1.43 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook GO 14 2023, Intel Core i3-N305, 14"" (35.56 cms) FHD, Thin & Light Laptop (8GB/512GB SSD/Win11/Office 2021/42Whr/Cool Silver/1.38 kg), E1404GA-NK321WS","31,990",https://www.amazon.in/ASUS-Vivobook-i3-N305-Laptop-E1404GA-NK321WS/dp/B0BRZRHN16/ref=sr_1_969?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-969&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,ASUS,ASUS,Vivobook Go 14 (2023),Cool Silver,Ultra-Portable,,,14 Inches,1920 x 1080 pixels,,1 Lithium Ion batteries required. (included),E1404GA-NK321WS,Intel,Core i3,3.8 GHz,8,DDR4,8 GB,512 GB,SSD,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",19 Volts,Windows 11 Home,Yes,41 Watt Hours,3,"Laptop, Charging Adapter, User Manual",,1 kg 380 g,B0BRZRHN16,"4.0
1 rating
4.0 out of 5 stars","#57,193 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,727 in Traditional Laptops",24 April 2023,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme Chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,1920 x 1080 Pixels,8 GB,Solid State,"Built-in speaker, Built-in array microphone",Intel UHD Graphics,1,45 Watts,6 Hours,SDRAM,"Headphones, Speakers",1,2,,44.2 x 42.4 x 6.4 cm; 1.38 kg,No,,,,,,,,,,,,,,,,,,,,,,,,,"Bluetooth, 802.11ax",,,,,,,,10000 RPM,PC,,3200 GHz,,,,,,,,
"HP Spectre 16 x360 12th Gen Intel Evo Core i7 16 inch(40.6 cm) UHD+OLED Multitouch 400 nits Gorilla Glass 2-in-1 Laptop (16GB RAM/1TB SSD/A370M Graphics 4GB/Win 11/FPR/B&O/Pen/2.01 Kg),f1009TX Blue","1,68,121",https://www.amazon.in/HP-Spectre-Multitouch-Graphics-f1009TX/dp/B0B5GYX7Q4/ref=sr_1_970?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-970&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,f1009TX,Nocturne Blue,,20 Millimeters,24.5 Centimeters,40.6 Centimetres,3840 x 2400 pixels,35.8 x 24.5 x 2 cm; 2.01 kg,1 Lithium Ion batteries required. (included),f1009TX,Intel,Core i7,4.7 GHz,1,DDR4,16 GB,1 TB,SSD,Intel,Integrated,VRAM,4 GB,Integrated,"Bluetooth, Wi-Fi",,Windows 11 Home,Yes,83 Watt Hours,6,"Laptop, Power Adapter, Pen, User manual",China,2 kg 10 g,B0B5GYX7Q4,"3.5
3 ratings
3.5 out of 5 stars","#47,316 in Computers & Accessories (See Top 100 in Computers & Accessories)
#45 in 2 in 1 Laptops",30 June 2022,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,35.8 x 24.5 x 2 Centimeters,1 Count,Laptop,,16 GB,,Audio by B&O; Quad Speakers,,1,,,,"Headphones, Speakers",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
