title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Number of Lithium Metal Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Net Quantity,info_Generic Name,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Hard Drive Size,tech_Optical Drive Type,info_Customer Reviews,info_Item Dimensions LxWxH,tech_RAM Size,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Average Battery Life (in hours),tech_Front Webcam Resolution,tech_Power Source,tech_Number of USB 2.0 Ports,tech_Number of HDMI Ports,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Platform,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Wattage,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Hard Disk Rotational Speed,tech_Average Battery Standby Life (in hours),tech_Rear Webcam Resolution,tech_Number of Audio-out Ports,tech_Processor Socket
"Dell Inspiron 14 7440 2-in-1 Laptop - 14 inch Touch FHD+ (35.56cm) Display, Intel Core i5-1334U, 16 GB RAM, 512 GB SSD, Ice Blue, 1.71Kg, Ideal for Students, Perfect for Learning and Productivity","70,490",https://www.amazon.in/Dell-Inspiron-7440-Laptop-Productivity/dp/B0DGLDHHY9/ref=sr_1_358?dib=eyJ2IjoiMSJ9.JK_jisvY3rxV5P2mTy0fWOgmy5UZ0gfR1CLa23JnLANgb19ApvQa0wfGZP4kaHDhP94vAdngEPAjK_KZGj26IQPZqskQhVlqEFFZNvwY_4c0Tr2zQ1meAaIXRAPBSIVaCQJeSLR66KAk9tgDDOGHx0fhvlg-L5KIbYNgbW5cJ-B5CojwAqxp_IGYn2G6G1AavOH_H1y5-ieG0MEmBSNRIV466OIXwafztoIJ2Q9ju2_vh0yqtRgFfr3evbbGLoDDQb58CklesgWFnGnyl7kTUhK-YJ29wLwxZOJZpMlP9AHoiXNgeWQV10KI_W7iouM9MYvIhIInI9lhSE_7atQkM81yPp5mFRPBtGnqfvTC3OQ.VI2U-p05ruELIGItir-Xiqg5TC7Xm16eQuOucr1fZsM&dib_tag=se&qid=1737563524&s=computers&sr=1-358&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Dell,Dell,Inspiron,Ice Blue,Laptop,14 Inches,1920 x 1080 pixel,,42.2 x 35.6 x 6.9 cm; 1.71 kg,1 Lithium Ion batteries required. (included),,Intel,Core i5,4.6,1,DDR5,16 GB,SSD,,,Intel,Integrated,DDR4 SDRAM,Integrated,Bluetooth,Windows 11 Home,Yes,,,4,,Laptop | Power Cable | Active Pen | User Manual,China,1 kg 710 g,B0DGLDHHY9,"#17,908 in Computers & Accessories (See Top 100 in Computers & Accessories)
#10 in 2 in 1 Laptops",10-Sep-24,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,1 Piece,Laptop,,,,,,"3.8
4 ratings
3.8 out of 5 stars",,16,,,,Intel® Graphics,,,3,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.58Kg), 82VG00ESIN","36,990",https://www.amazon.in/Lenovo-IdeaPad-Windows-Warranty-82VG00ESIN/dp/B0CJVGKM7D/ref=sr_1_359?dib=eyJ2IjoiMSJ9.JK_jisvY3rxV5P2mTy0fWOgmy5UZ0gfR1CLa23JnLANgb19ApvQa0wfGZP4kaHDhP94vAdngEPAjK_KZGj26IQPZqskQhVlqEFFZNvwY_4c0Tr2zQ1meAaIXRAPBSIVaCQJeSLR66KAk9tgDDOGHx0fhvlg-L5KIbYNgbW5cJ-B5CojwAqxp_IGYn2G6G1AavOH_H1y5-ieG0MEmBSNRIV466OIXwafztoIJ2Q9ju2_vh0yqtRgFfr3evbbGLoDDQb58CklesgWFnGnyl7kTUhK-YJ29wLwxZOJZpMlP9AHoiXNgeWQV10KI_W7iouM9MYvIhIInI9lhSE_7atQkM81yPp5mFRPBtGnqfvTC3OQ.VI2U-p05ruELIGItir-Xiqg5TC7Xm16eQuOucr1fZsM&dib_tag=se&qid=1737563524&s=computers&sr=1-359&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Lenovo,Lenovo,IdeaPad 1 15AMN7,Cloud Grey,Ultra-Portable,15.6 Inches,Full HD,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),82VG00ESIN,AMD,Ryzen 3,2.8 GHz,4,Lpddr 5,8 GB,SSD,PCIE x 4,"Headphones, Speakers",AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,42 Watt Hours,,3,,"Laptop, User Manual, Power Adapter",,1 kg 580 g,B0CJVGKM7D,"#12,580 in Computers & Accessories (See Top 100 in Computers & Accessories)
#387 in Traditional Laptops",26-Sep-23,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",1 Piece,Laptop,50 Centimeters,7.6 Centimeters,50 x 7.6 x 50 cm; 1.58 kg,512 GB,No Optical Drive,"4.2
7 ratings
4.2 out of 5 stars",50 x 7.6 x 50 Centimeters,8 GB,DDR5 RAM,,"Stereo speakers, 1.5W x2, Dolby Audio",Integrated AMD Radeon 610M Graphics,,Bluetooth,2,,10 Hours,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo Thinkpad L450 5th Gen Intel Core i5 HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm)/Windows 10 Pro/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)","14,000",https://www.amazon.in/Renewed-Lenovo-Thinkpad-Bluetooth-Graphics/dp/B0B3HXKV2P/ref=sr_1_360?dib=eyJ2IjoiMSJ9.JK_jisvY3rxV5P2mTy0fWOgmy5UZ0gfR1CLa23JnLANgb19ApvQa0wfGZP4kaHDhP94vAdngEPAjK_KZGj26IQPZqskQhVlqEFFZNvwY_4c0Tr2zQ1meAaIXRAPBSIVaCQJeSLR66KAk9tgDDOGHx0fhvlg-L5KIbYNgbW5cJ-B5CojwAqxp_IGYn2G6G1AavOH_H1y5-ieG0MEmBSNRIV466OIXwafztoIJ2Q9ju2_vh0yqtRgFfr3evbbGLoDDQb58CklesgWFnGnyl7kTUhK-YJ29wLwxZOJZpMlP9AHoiXNgeWQV10KI_W7iouM9MYvIhIInI9lhSE_7atQkM81yPp5mFRPBtGnqfvTC3OQ.VI2U-p05ruELIGItir-Xiqg5TC7Xm16eQuOucr1fZsM&dib_tag=se&qid=1737563524&s=computers&sr=1-360&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Lenovo,Lenovo,Lenovo Thinkpad L450-cr,black,Laptop,14 Inches,1366 x 768,HD (1366 X 768) Pixels,,1 Lithium Ion batteries required. (included),Lenovo Thinkpad L450-cr,Intel,Intel Core i5,2.2 GHz,1,DDR3L,8 GB,SSD,Solid State,Headphones,Intel,Integrated,DDR3 SDRAM,Integrated,"Bluetooth, Wi-Fi",Windows 10 Pro,Yes,55 Watt Hours,50 Grams,4,,"Laptop,Battery,Power Cord",,1 kg 900 g,B0B3HXKV2P,"#12,827 in Computers & Accessories (See Top 100 in Computers & Accessories)
#394 in Traditional Laptops",08-Jun-22,,,1.00 count,Business Laptop,1 Inches,9 Inches,38.1 x 22.86 x 2.54 cm; 1.9 kg,256 GB,No Optical Device,"2.5
8 ratings
2.5 out of 5 stars",38.1 x 22.9 x 2.5 Centimeters,8 GB,DDR3 SDRAM,,Integrated high quality speakers,Intel HD Graphics 4400,,,2,,1.5 Hours,,Battery Powered,,,1,,,,,,,,,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,,1,
"ZEBRONICS PRO Series Z NBC 5S, Intel Core 12th Gen i7 Processor 16GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Midnight Blue,1.76 Kg","40,990",https://www.amazon.in/ZEBRONICS-Processor-15-6-Inch-Display-Midnight/dp/B0CJ72RZTB/ref=sr_1_361?dib=eyJ2IjoiMSJ9.liatbfqSUa0DCx0hmZVTt8HNVrXWe-47hy5_w88ijVca4KteMb89o5ugPlsYkmYTGA9pIEFb_Pl0aXUwAw4i8SSHy-yUnIigExX7179xclnaTfSaEerdKGY61Uf8QAUOAF8QLdBFzLPXB_78uScJGFA2v0copwxa0Cfd4a6FQkIT37yImiRP_0mHXvsnQESX0YYxmMkq7YkLNejK_oR2ghAjqzuWmKnY2oFyKbQJwq4N5BZfUG7fzttogdSkXricuq9MtEQj0olgncEdvz4Ov_mcxZ0pnTP_CMvbsVQdr8Xy0mUgPIAmRQ9gPXQkTm83M98fz-FKwMECPiqmW08y_oCvY7tpcZPlNopDIUuQqGA.l94Oen4zbSJTpTJJo6u50Me9L6Qd3ql3tf3VOwgKRwg&dib_tag=se&qid=1737563975&s=computers&sr=1-361&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,ZEBRONICS,"13,7",ZEB-NBC 5S 16GB (Midnight Blue),Midnight Blue,Laptop,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,,,PRO Series Z NBC 5S,Intel,Intel Core i7,4.4 Hz,1,DDR4,512 GB,SSD,USB 3.2,"Headphones, Speakers",Intel,Integrated shared,Shared,Integrated,Wi-Fi,Windows 11 Home,No,,,,,"QR code Guide - 1U, Laptop- 1 Unit, Power adapter - 1 Unit, Quick start Guide- 1 unit",China,1 kg 760 g,B0CJ72RZTB,"#21,432 in Computers & Accessories (See Top 100 in Computers & Accessories)
#616 in Traditional Laptops",15-Sep-23,"13/7, Smith Road, Royapettah CHENNAI-600724","13/7, Smith Road, Royapettah CHENNAI-600002",1 Count,Zebronics Laptop,38.2 Centimeters,7.9 Centimeters,38.2 x 7.9 x 38.2 cm; 1.76 kg,512 GB,,"3.7
50 ratings
3.7 out of 5 stars",38.2 x 7.9 x 38.2 Centimeters,16 GB,DDR4 SDRAM,3200 MHz,,integrated,2 GB,Bluetooth,2,19 Volts,10 Hours,1080 Pixels,,1,1,,,,,,,,,,,,Windows,,,,,,,,,,65 Watts,,,,,,,,,,,,,,,,,,
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), eq2212AU","34,499",https://www.amazon.in/HP-Anti-Glare-Graphics-15s-eq2212AU/dp/B0BQN2HV46/ref=sr_1_362?dib=eyJ2IjoiMSJ9.liatbfqSUa0DCx0hmZVTt8HNVrXWe-47hy5_w88ijVca4KteMb89o5ugPlsYkmYTGA9pIEFb_Pl0aXUwAw4i8SSHy-yUnIigExX7179xclnaTfSaEerdKGY61Uf8QAUOAF8QLdBFzLPXB_78uScJGFA2v0copwxa0Cfd4a6FQkIT37yImiRP_0mHXvsnQESX0YYxmMkq7YkLNejK_oR2ghAjqzuWmKnY2oFyKbQJwq4N5BZfUG7fzttogdSkXricuq9MtEQj0olgncEdvz4Ov_mcxZ0pnTP_CMvbsVQdr8Xy0mUgPIAmRQ9gPXQkTm83M98fz-FKwMECPiqmW08y_oCvY7tpcZPlNopDIUuQqGA.l94Oen4zbSJTpTJJo6u50Me9L6Qd3ql3tf3VOwgKRwg&dib_tag=se&qid=1737563975&s=computers&sr=1-362&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,HP Laptop,"Silver, Ryzen 3 5300U",Netbook,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),15s- eq2212AU,AMD,Ryzen 3,3.8 GHz,1,DDR4,16 GB,SSD,Solid State,"Headphones, Speakers",AMD,Integrated,WRAM,Integrated,Bluetooth,Windows 11 Home,Yes,41 Watt Hours,,3,,"Laptop, Power Adapter, User Manual",India,1 kg 700 g,B0BQN2HV46,"#18,935 in Computers & Accessories (See Top 100 in Computers & Accessories)
#549 in Traditional Laptops",20-Dec-22,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,1 Count,Laptop,52.1 Centimeters,31.3 Centimeters,6.7 x 31.3 x 52.1 cm; 1.7 kg,512 GB,,"3.8
84 ratings
3.8 out of 5 stars",6.7 x 31.3 x 52.1 Centimeters,8 GB,,,Dual speakers,AMD Radeon Graphics,8 GB,Bluetooth,2,45 Volts,41 Watt Hours,720 Pixels,,,1,,,,,,,,,,,,PC,,,,,,,,,,41 Watts,,,,,,,,,,,,,,,,,,
"HP 15s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Win 11/Intel Iris Xe Graphics/Dual Speakers/Alexa/Backlit KB/MSO/Fast Charge, 15s- fq5112TU","49,299",https://www.amazon.in/HP-Micro-Edge-Anti-Glare-15s-fq5112TU/dp/B0B6F6HN37/ref=sr_1_363?dib=eyJ2IjoiMSJ9.liatbfqSUa0DCx0hmZVTt8HNVrXWe-47hy5_w88ijVca4KteMb89o5ugPlsYkmYTGA9pIEFb_Pl0aXUwAw4i8SSHy-yUnIigExX7179xclnaTfSaEerdKGY61Uf8QAUOAF8QLdBFzLPXB_78uScJGFA2v0copwxa0Cfd4a6FQkIT37yImiRP_0mHXvsnQESX0YYxmMkq7YkLNejK_oR2ghAjqzuWmKnY2oFyKbQJwq4N5BZfUG7fzttogdSkXricuq9MtEQj0olgncEdvz4Ov_mcxZ0pnTP_CMvbsVQdr8Xy0mUgPIAmRQ9gPXQkTm83M98fz-FKwMECPiqmW08y_oCvY7tpcZPlNopDIUuQqGA.l94Oen4zbSJTpTJJo6u50Me9L6Qd3ql3tf3VOwgKRwg&dib_tag=se&qid=1737563975&s=computers&sr=1-363&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,HP Laptop,Natural Silver,Netbook,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),15s- fq5112TU,Intel,Core i5,4.4 GHz,1,DDR4,16 GB,SSD,,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi, Miracast",Windows 11 Home,Yes,41 Watt Hours,,3,,"Laptop, Power Adapter",China,1 kg 690 g,B0B6F6HN37,"#18,484 in Computers & Accessories (See Top 100 in Computers & Accessories)
#537 in Traditional Laptops",13-Jul-22,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,1 Pack,Laptop,18 Millimeters,24.2 Centimeters,35.8 x 24.2 x 1.8 cm; 1.69 kg,512 GB,,"3.9
395 ratings
3.9 out of 5 stars",35.8 x 24.2 x 1.8 Centimeters,16 GB,,,Dual speakers,Intel Iris Xe Graphics,16 GB,,,,3 Hours,,,2,1,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Zenbook 14, Intel Core Ultra 7, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (16GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Foggy Silver/1.28 Kg), UX3405MA-PZ751WS","99,990",https://www.amazon.in/ASUS-Zenbook-Intel-Ultra-Built/dp/B0D89TT6VK/ref=sr_1_364?dib=eyJ2IjoiMSJ9.liatbfqSUa0DCx0hmZVTt8HNVrXWe-47hy5_w88ijVca4KteMb89o5ugPlsYkmYTGA9pIEFb_Pl0aXUwAw4i8SSHy-yUnIigExX7179xclnaTfSaEerdKGY61Uf8QAUOAF8QLdBFzLPXB_78uScJGFA2v0copwxa0Cfd4a6FQkIT37yImiRP_0mHXvsnQESX0YYxmMkq7YkLNejK_oR2ghAjqzuWmKnY2oFyKbQJwq4N5BZfUG7fzttogdSkXricuq9MtEQj0olgncEdvz4Ov_mcxZ0pnTP_CMvbsVQdr8Xy0mUgPIAmRQ9gPXQkTm83M98fz-FKwMECPiqmW08y_oCvY7tpcZPlNopDIUuQqGA.l94Oen4zbSJTpTJJo6u50Me9L6Qd3ql3tf3VOwgKRwg&dib_tag=se&qid=1737563975&s=computers&sr=1-364&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,ASUS,ASUS,ASUS Zenbook 14 OLED,"Silver,16GB,Intel Ultra 7 155H|Intel Arc Graphics",Ultra-Portable,14 Inches,2880 x 1800 pixels,,,1 Lithium Ion batteries required. (included),UX3405MA-PZ751WS,Intel,Intel Core Ultra 7,1.4 GHz,16,LPDDR5X,16 GB,SSD,,,Intel,Integrated,GDDR5X,PCI Express,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,,,4,,"Laptop, Charging Adapter & User Manual",,2 kg 730 g,B0D89TT6VK,"#18,134 in Computers & Accessories (See Top 100 in Computers & Accessories)
#525 in Traditional Laptops",28-Jun-24,"TECH FRONT (CHONGQING) COMPUTER CO. LTD. NO. 18, ZONGBAO ROAD, SHAPINGBA DISTRICT CHONGQING, CHINA","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Laptop,41.3 Centimeters,29.1 Centimeters,7.4 x 29.1 x 41.3 cm; 2.73 kg,,No Optical Storage,"4.8
4 ratings
4.8 out of 5 stars",7.4 x 29.1 x 41.3 Centimeters,16,DDR5 RAM,,,Intel Arc Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg), 21JRS0H200","56,400",https://www.amazon.in/Lenovo-ThinkPad-Graphics-Keyboard-21JRS0H200/dp/B0DDY2FYCK/ref=sr_1_365?dib=eyJ2IjoiMSJ9.liatbfqSUa0DCx0hmZVTt8HNVrXWe-47hy5_w88ijVca4KteMb89o5ugPlsYkmYTGA9pIEFb_Pl0aXUwAw4i8SSHy-yUnIigExX7179xclnaTfSaEerdKGY61Uf8QAUOAF8QLdBFzLPXB_78uScJGFA2v0copwxa0Cfd4a6FQkIT37yImiRP_0mHXvsnQESX0YYxmMkq7YkLNejK_oR2ghAjqzuWmKnY2oFyKbQJwq4N5BZfUG7fzttogdSkXricuq9MtEQj0olgncEdvz4Ov_mcxZ0pnTP_CMvbsVQdr8Xy0mUgPIAmRQ9gPXQkTm83M98fz-FKwMECPiqmW08y_oCvY7tpcZPlNopDIUuQqGA.l94Oen4zbSJTpTJJo6u50Me9L6Qd3ql3tf3VOwgKRwg&dib_tag=se&qid=1737563975&s=computers&sr=1-365&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Lenovo,Lenovo,E14 Gen 5,Black,Laptop,14 Inches,,,44.7 x 30.5 x 7.9 cm; 1.41 kg,1 Lithium Polymer batteries required. (included),,AMD,Ryzen 5,2 GHz,1,DDR4,40 GB,SSD,,"Headphones, Speakers",AMD,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,Yes,47 Watt Hours,,3,,"Laptop, User manual, Adapter",,1 kg 410 g,B0DDY2FYCK,"#11,672 in Computers & Accessories (See Top 100 in Computers & Accessories)
#370 in Traditional Laptops",22-Aug-24,"LCFC (HeFei) Electronics Technology Co., Ltd. No.3188-1, Yungu Road, Economics and Technology Development District, Hefei, Anhui-230601, China","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",1 Case,Laptop,,,,,No Optical Drive,"2.5
2 ratings
2.5 out of 5 stars",,16,,,,AMD Radeon Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15 Core i5 12th Gen (16GB RAM/512GB SSD/FHD/Windows 11/MS Office/Backlit Keyboard/15.6"" (39.6cm)/Silver/1.59 kg) fd0111TU Laptop","52,018",https://www.amazon.in/HP-Windows-Backlit-Keyboard-fd0111TU/dp/B0DCG73TNK/ref=sr_1_366?dib=eyJ2IjoiMSJ9.liatbfqSUa0DCx0hmZVTt8HNVrXWe-47hy5_w88ijVca4KteMb89o5ugPlsYkmYTGA9pIEFb_Pl0aXUwAw4i8SSHy-yUnIigExX7179xclnaTfSaEerdKGY61Uf8QAUOAF8QLdBFzLPXB_78uScJGFA2v0copwxa0Cfd4a6FQkIT37yImiRP_0mHXvsnQESX0YYxmMkq7YkLNejK_oR2ghAjqzuWmKnY2oFyKbQJwq4N5BZfUG7fzttogdSkXricuq9MtEQj0olgncEdvz4Ov_mcxZ0pnTP_CMvbsVQdr8Xy0mUgPIAmRQ9gPXQkTm83M98fz-FKwMECPiqmW08y_oCvY7tpcZPlNopDIUuQqGA.l94Oen4zbSJTpTJJo6u50Me9L6Qd3ql3tf3VOwgKRwg&dib_tag=se&qid=1737563975&s=computers&sr=1-366&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,HP Laptop,"Silver, 12th Gen i5",Netbook,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,52 x 30.9 x 7.2 cm; 1.6 kg,1 Lithium Ion batteries required. (included),A47CYPA,Intel,Core i5,4.4 GHz,1,DDR4,16 GB,SSD,,"Headphones, Speakers",Intel,Integrated,WRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,41 Watt Hours,,3,,"Laptop, charger",China,1 kg 600 g,B0DCG73TNK,"#21,402 in Computers & Accessories (See Top 100 in Computers & Accessories)
#615 in Traditional Laptops",04-Aug-24,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",1 Pack,Laptop,,,,512 GB,,"3.5
7 ratings
3.5 out of 5 stars",,16 GB,,,,Intel,,,2,,41 Watt Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Hours,,,
HP Laptop 245 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg,"25,999",https://www.amazon.in/HP-Laptop-245-G9-Ryzen/dp/B0DJCWZ5BT/ref=sr_1_367?dib=eyJ2IjoiMSJ9.liatbfqSUa0DCx0hmZVTt8HNVrXWe-47hy5_w88ijVca4KteMb89o5ugPlsYkmYTGA9pIEFb_Pl0aXUwAw4i8SSHy-yUnIigExX7179xclnaTfSaEerdKGY61Uf8QAUOAF8QLdBFzLPXB_78uScJGFA2v0copwxa0Cfd4a6FQkIT37yImiRP_0mHXvsnQESX0YYxmMkq7YkLNejK_oR2ghAjqzuWmKnY2oFyKbQJwq4N5BZfUG7fzttogdSkXricuq9MtEQj0olgncEdvz4Ov_mcxZ0pnTP_CMvbsVQdr8Xy0mUgPIAmRQ9gPXQkTm83M98fz-FKwMECPiqmW08y_oCvY7tpcZPlNopDIUuQqGA.l94Oen4zbSJTpTJJo6u50Me9L6Qd3ql3tf3VOwgKRwg&dib_tag=se&qid=1737563975&s=computers&sr=1-367&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,245 G9,Silver,Notebook,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,32.4 x 22.5 x 1.9 cm; 1.5 kg,1 AAA batteries required. (included),245 G9,AMD,Ryzen 3 3250U,2.6 GHz,2,DDR4,8 GB,SSD,Solid State,"Headphones, Speakers",AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Pro,Yes,2.6 Watt Hours,,3,,"LAPTOP, POWER ADAPTER, USER GUIDE",,1 kg 500 g,B0DJCWZ5BT,"#24,747 in Computers & Accessories (See Top 100 in Computers & Accessories)
#687 in Traditional Laptops",02-Oct-24,HP INDIA PRIVATE LIMITED,HP INDIA PRIVATE LIMITED,1 Count,BUSINESS LAPTOP,,,,512 GB,,"3.7
12 ratings
3.7 out of 5 stars",,,DDR4 SDRAM,3.5 GHz,Built in Dual Speakers,AMD Radeon Graphics,,,1,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,,,
