title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Optical Drive Type,tech_Rear Webcam Resolution,tech_Power Source,tech_Operating System,tech_Average Battery Standby Life (in hours),tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Package Dimensions,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Wattage,tech_Lithium Battery Weight,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_OS,tech_RAM,tech_Wireless communication technologies,tech_Connectivity technologies,tech_GPS,tech_Special features,tech_Display technology,tech_Other display features,tech_Other camera features,tech_Form factor,tech_Battery Power Rating,tech_Whats in the box
"ASUS TUF Gaming F15 Gaming Laptop,Intel Core i7-12700H 12th Gen,4GB NVIDIA GeForce RTX 3050, 15.6-inch(39.62 cms) FHD 144Hz,(16GB RAM /1TB SSD/Windows 11/90WHrs Battery/Gray/2.20 Kg), FX577ZC-HN192W","78,900",https://www.amazon.in/ASUS-15-6-inch-i7-12700H-GeForce-FX577ZC-HN192W/dp/B0CCYDKS4P/ref=sr_1_818?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-818&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,ASUS,ASUS,TUF Gaming F15,Mecha Gray,Gaming Laptop,43 Centimeters,10.2 Centimeters,39.62 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,43 x 10.2 x 43 cm; 2.2 kg,1 Lithium Polymer batteries required. (included),FX577ZC-HN192W,Intel,Core i7,4.7 GHz,14,16 GB,DDR4,SODIMM,32 GB,3200 MHz,1 TB,SSD,"Headphones, Speakers","2-speaker system, Dolby Atmos, Hi-Res certification",NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",,4,4,20 Volts (DC),No Optical Drive,,Battery Powered,Windows 11 Home,,,Yes,,4,"Laptop, Adaptor, User Manual",,2 kg 200 g,B0CCYDKS4P,"4.2
94 ratings
4.2 out of 5 stars","#35,761 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,026 in Traditional Laptops",26 July 2023,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",43 x 10.2 x 43 Centimeters,1 Count,Gaming Laptop,,,,,,,,,,,200 Watt Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 3050 Graphics 6 GB VRAM, 144Hz Display (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51","68,990",https://www.amazon.in/Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CQP1T2VW/ref=sr_1_819?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-819&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Acer,Acer,ANV15-51,Black,Ultra-Portable,55.5 Centimeters,36.2 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080,8.3 x 36.2 x 55.5 cm; 2.11 kg,1 Lithium Ion batteries required. (included),UN.QN9SI.00G,Intel,Core i5,3.4 GHz,1,16,DDR5,DDR5 RAM,32 GB,,512 GB,SSD,,,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,6 GB,AGP,Wi-Fi,,,3,,240 Volts,,,,Windows 11 Home,,5 Hours,Yes,57 Watt Hours,4,"Battery, Adaptor, Laptop",India,2 kg 110 g,B0CQP1T2VW,"3.8
33 ratings
3.8 out of 5 stars","#34,510 in Computers & Accessories (See Top 100 in Computers & Accessories)
#979 in Traditional Laptops",18 December 2023,"Compal Electronics Pvt Ltd, No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",8.3 x 36.2 x 55.5 Centimeters,1 Piece,Laptops,,,,,,,,,,,,0.5 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad L490 8th Gen Intel Core i5 Thin & Light FHD Laptop (16 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) Windows/ WiFi/Bluetooth/Webcam/Intel Graphics)","17,150",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0D54JJDLX/ref=sr_1_820?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-820&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Lenovo,Lenovo,Lenovo ThinkPad L490,,Laptop,,,14 Inches,1280 x 800 pixel,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,1.6 GHz,1,16,DDR4,,16 GB,,256 GB,SSD,Headphones,,Intel UHD Graphics 620,Intel,Integrated,GDDR5,,Integrated,"Bluetooth, Wi-Fi",,,,,230 Volts,,,,Windows,,3 Hours,Yes,5000 Milliamp Hours (mAh),4,"Laptop, Power Cord, Battery",,1 kg 700 g,B0D54JJDLX,"3.2
5 ratings
3.2 out of 5 stars","#39,660 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,138 in Traditional Laptops",24 May 2024,Renewed Seller,,,1.00 count,,50.9 x 32.5 x 7.7 cm; 1.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 15 Thin & Light Laptop, 12th Generation Intel Core i3-1215U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Windows 11 + MSO'21, 15 Month McAfee, Titan Grey, 1.69kg","38,677",https://www.amazon.in/Dell-Generation-i3-1215U-Processor-39-62cm/dp/B0D832FWZX/ref=sr_1_821?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-821&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Dell,Dell India Pvt. Ltd.,Vostro,"Titan Grey - i3-1215U, 8GB",Laptop,,,16 Inches,1920 x 1080 pixel,,,1 Lithium Ion batteries required. (included),,Intel,Core i3,4.4 GHz,1,8 GB,DDR4,,16 GB,,,SSD,,,,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,1,2,,,,,,Windows 11 Home,,,Yes,41 Watt Hours,3,Laptop | Adapter | User Manual,China,1 kg 690 g,B0D832FWZX,"4.6
6 ratings
4.6 out of 5 stars","#42,208 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,224 in Traditional Laptops",26 June 2024,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,1 count,Laptop,52.5 x 38.7 x 10.7 cm; 1.69 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15, AMD Ryzen 5 7520U, 16GB LPDDR5, 512GB SSD, (Win11, Office21, Silver,1.59kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, FPR, fc0031AU","44,990",https://www.amazon.in/HP-15-6-inch-Graphics-Privacy-fc0031AU/dp/B0C3D8BZVQ/ref=sr_1_822?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-822&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,HP,HP,HP Laptop,Silver,Netbook,52.1 Centimeters,6.9 Centimeters,15.6 Inches,â€Ž1366 x 768 Pixels,1366 x 768 Pixels,52.1 x 6.9 x 52.1 cm; 1.6 kg,1 Lithium Ion batteries required. (included),FC0031AU,AMD,Ryzen 5,4.3 GHz,1,16 GB,Lpddr 5,,16 GB,4.3 GHz,512 GB,SSD,Speakers,,,AMD,Integrated,DRAM,,Integrated,"Bluetooth, Wi-Fi",,,2,1,45 Volts,,,,Windows 11,1 Hour,4 Hours,Yes,41 Watt Hours,3,Laptop,China,1 kg 600 g,B0C3D8BZVQ,"3.7
39 ratings
3.7 out of 5 stars","#39,536 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,133 in Traditional Laptops",24 April 2023,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",52.1 x 6.9 x 52.1 Centimeters,1 Count,laptop,,Solid State,,PC,,,,,,,,250 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 15 Inch (39.65cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK017RIN","36,600",https://www.amazon.in/Lenovo-IdeaPad-i3-1215U-39-65cm-82RK017RIN/dp/B0D872NJSM/ref=sr_1_823?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-823&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Lenovo,Lenovo,IdeaPad 3,Arctic Grey,Thin & Light,,,15 Inches,1920 x 1080 pixel,1920X1080 Pixels,,1 Lithium Polymer batteries required. (included),15IAU7,Intel,Core i3,1.2 GHz,6,16 GB,DDR4,DDR4 SDRAM,16 GB,,512 GB,SSD,"Headphones, Speakers","Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1,2,1,,No Optical Drive,,,"Windows 11 Home 64, English",5 Hours,7 Hours,Yes,38 Watt Hours,3,"Laptop, User Manual, Power Adapter",China,1 kg 430 g,B0D872NJSM,"1.0
1 rating
1.0 out of 5 stars","#39,602 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,134 in Traditional Laptops",27 June 2024,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,Laptop,53.7 x 36.6 x 7.2 cm; 1.43 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire Lite 11th Gen Intel Core i5 Premium Metal Laptop (8GB RAM/512GB SSD/Intel Iris Xe Graphics/Windows 11 Home) AL15-51, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","40,990",https://www.amazon.in/Acer-Premium-Graphics-Windows-AL15-51/dp/B0C93RRCC9/ref=sr_1_825?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-825&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Acer,Acer,,,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,48.1 x 9.1 x 48.1 cm; 1.59 kg,1 Lithium Ion batteries required. (included),AL15-51,Intel,Core i5-1155G7,4.5 GHz,1,8 GB,,DDR4 SDRAM,,,,SSD,,,Intel Iris Xe Graphics,,Integrated,DDR4 SDRAM,,Integrated,,,,,,19 Volts,,,Battery Powered,Windows 11 Home,,,,,,,,1 kg 590 g,B0C93RRCC9,"3.9
190 ratings
3.9 out of 5 stars","#139,744 in Electronics (See Top 100 in Electronics)
#913 in Traditional Laptops",10 July 2023,"ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111.","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",48.1 x 9.1 x 48.1 Centimeters,1 Count,Laptop,,Solid State,,,,,,,,,45 Watts,,AL15-51,Aspire Lite,2023,512 GB,yes,8 GB,32 GB,DDR4,Intel Core i5-1155G7 processor,"USB, Thunderbolt",Thin,intel,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",1,LCD,LCD,Speakers,Yes,Yes,Lithium Ion,4,Chiclet,USB,"Keyboard, Numeric Keypad",,,,,,,,,,,,
"Dell Latitude 3440/Core i3-1215U/8GB/512GB SSD/14 HD/Windows 11 Pro, Intel Dual Band Wi-Fi + BT5.1/UBU/1 Year Warranty with 1Y ADP/Bag","32,490",https://www.amazon.in/Dell-Latitude-i3-1215U-Warranty-INDLati3440N1-1/dp/B0CSKDDGPG/ref=sr_1_826?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-826&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Dell,Dell,Latitude Notebook,Gray,Laptop,,,14 Inches,1366x768,1920x1080,,1 A batteries required. (included),,Intel,Core i3,4.4,1,,DDR4,DDR4 SDRAM,64 GB,,512 GB,SSD,,,,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,1,1,,,NO ODD,,,Windows 11 Pro,,,Yes,42 Watt Hours,3,,,1 kg 540 g,B0CSKDDGPG,,"#44,178 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,290 in Traditional Laptops",17 January 2024,Dell,Dell,,,Laptop,42.3 x 36.1 x 8.4 cm; 1.54 kg,,,,,,,,,,,180 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) iQOO Neo 7 Pro 5G (Dark Storm, 8Gb Ram, 128Gb Storage) | Snapdragon 8+ Gen 1 | Independent Gaming Chip | Flagship 50Mp Ois Camera | Ag Glass Design, Orange","30,799",https://www.amazon.in/Refurbished-iQOO-Snapdragon-Independent-Flagship/dp/B0CV5NSXB5/ref=sr_1_827?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-827&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,,vivo Mobile India Pvt Ltd,,Dark Storm,,,,,,,11 x 9 x 8 cm; 200 g,,I2217-cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,200 g,B0CV5NSXB5,"3.5
3 ratings
3.5 out of 5 stars","#1,112 in Amazon Renewed (See Top 100 in Amazon Renewed)
#162 in Renewed Black Friday and Cyber Monday Sale
#1,361 in Traditional Laptops",7 February 2024,,,11 x 9 x 8 Centimeters,,Smartphone,,,,,,,,vivo Mobile India Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funtouch OS 13 Based On Android 13,8 GB,Cellular,"Bluetooth, Wi-Fi, USB",GLONASS,"Camera, Fast Charging",AMOLED,Wireless,"Rear, Front",Slate,5000,"Cell Phone, Eject tool , Phone Case, Power Adapter, USB Cable, Quick Start Guide, Warranty Card"
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 16"" (40.6cm) WUXGA IPS 300Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD 1080p Camera/Alexa/3 Month Game Pass/Grey/1.8Kg), 83BG000DIN","60,990",https://www.amazon.in/Lenovo-IdeaPad-300Nits-Backlit-83BG000DIN/dp/B0CWVLQVXH/ref=sr_1_828?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-828&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Lenovo,Lenovo,IdeaPad Slim 5,Cloud Grey,Ultra-Portable,,,16 Inches,1920 x 1200 pixel,1920x1200 Pixels,,1 Lithium Polymer batteries required. (included),16IAH8,Intel,Core i5,2 GHz,8,16 GB,Lpddr 5,DDR5 RAM,16 GB,,512 GB,SSD,"Headphones, Speakers","Stereo speakers, 2W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,,,4,,,No Optical Drive,,,Windows 11 Home,312 Hz,7 Hours,Yes,56.6 Watt Hours,3,Laptop,,1 kg 890 g,B0CWVLQVXH,,"#35,131 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,010 in Traditional Laptops",1 March 2024,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,Laptop,51 x 48.7 x 8.6 cm; 1.89 kg,PCIE x 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
