title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_Memory Clock Speed,tech_Audio Details,tech_Speaker Description,tech_Number of USB 2.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Package Dimensions,tech_Average Battery Standby Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of Lithium Metal Cells,tech_Lithium Battery Weight,tech_Rear Webcam Resolution,tech_Front Webcam Resolution,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Number of Ethernet Ports,tech_Number of Audio-out Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Silver","94,990",https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0DLHWMPQL/ref=sr_1_201?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-201&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,,Apple,,,,,,,,,,MC7V4HN/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",,1 Count,"MacBook Air 13-inch (M2, 2022)",,,,,,,,,37.79 x 28.6 x 8.2 cm; 1.24 kg,,,,,,,B0DLHWMPQL,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 240 g,"USB-C Power Adapter, MacBook Air with M2 chip 1N, USB-C to MagSafe 3 Cable (2m) 1N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i3-1305U 15.6 inch (39.6cm) FHD Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 82X700C8IN","36,800",https://www.amazon.in/Lenovo-IdeaPad-i3-1305U-Windows-82X700C8IN/dp/B0DR8NCVY1/ref=sr_1_202?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-202&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Lenovo,Lenovo,IdeaPad,i3-13th Gen | 8GB,Ultra-Portable,,,15.6,1920 x 1080 pixels,,1 P76 batteries required. (included),15IRU8,Intel,Core i3,1.6,5,,Lpddr 5,DDR5 RAM,8 GB,512 GB,SSD,USB 3.0,Intel UHD Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,"Bluetooth, 802.11ax",3,1,15 Volts,,Windows 11,,Yes,47 Watt Hours,4,Laptop,,1 kg 620 g,B0DR8NCVY1,,"#5,741 in Computers & Accessories (See Top 100 in Computers & Accessories)
#186 in Traditional Laptops",23-Dec-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,Laptop,1920 x 1080,,"Headphones, Speakers","Stereo speakers, 1.5W x2, Dolby Audio",,No Optical Drive,,,48.6 x 33.2 x 7.5 cm; 1.62 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Smartchoice Victus Gaming Laptop, 13th Gen Intel Core i5-13420H,6GB RTX 4050 GPU,15.6-inch(39.6 cm),FHD,IPS,144 Hz,16GB DDR4,1TB SSD,Backlit KB,B&O (Win 11,MSO,Blue,2.37 kg),fa1317TX","83,500",https://www.amazon.in/HP-Smartchoice-i5-13420H-15-6-inch-fa1317TX/dp/B0D1YHWVF9/ref=sr_1_203?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-203&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,HP,HP,15-fa1317X,Blue,Ultra-Portable,52.3 Centimeters,31.3 Centimeters,39.6 Centimetres,1920 x 1080 pixel,6.9 x 31.3 x 52.3 cm; 3.38 kg,1 Lithium Ion batteries required. (included),15-fa1317x,Intel,Intel Core i5,4.6 GHz,1,16,DDR4,,16 GB,1 TB,SSD,Solid State,NVIDIA GeForce RTX 4050,Intel,Dedicated,GDDR6,6 GB,Integrated,Wi-Fi,,,,4.7 Volts,75 Watts,Windows 11 Home,,Yes,70 Watt Hours,4,"Laptop, Charger, User Manual",China,3 kg 380 g,B0D1YHWVF9,"3.8
53 ratings
3.8 out of 5 stars","#8,115 in Computers & Accessories (See Top 100 in Computers & Accessories)
#254 in Traditional Laptops",17-Apr-24,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",6.9 x 31.3 x 52.3 Centimeters,1 Count,Laptop,1920X1080 Pixels,,Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo LOQ 12th Gen Core i5-12450HX | NVIDIA RTX 2050 4GB (12GB RAM/512GB SSD/15.6 Inches (39.6cm)/144Hz/Windows 11/100% sRGB/3 Month Game Pass/1Yr ADP Free/Grey/2.4Kg), 83GS008VIN Gaming Laptop","58,990",https://www.amazon.in/Lenovo-i5-12450HX-39-6cm-300Nits-83GS008VIN/dp/B0D1TL1WSB/ref=sr_1_204?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-204&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Lenovo,Lenovo,LOQ 15IAX9,Luna Grey,Ultra-Portable,54.1 Centimeters,35.7 Centimeters,15.6 Inches,1920 x 1080 pixel,8.6 x 35.7 x 54.1 cm; 3.48 kg,1 Lithium Polymer batteries required. (included),15IAX9,Intel,Intel Core i5,4.4 GHz,8,12 GB,DDR5,DDR5 RAM,32 GB,512 GB,SSD,NVMe,Intel,Intel,Dedicated,GDDR6,4 GB,PCI Express,Wi-Fi,"Bluetooth, 2.4 GHz Radio Frequency",4,1,12 Volts,65 Watts,Windows 11,6 Hours,Yes,60 Watt Hours,4,Laptop,China,3 kg 480 g,B0D1TL1WSB,"3.1
21 ratings
3.1 out of 5 stars","#6,089 in Computers & Accessories (See Top 100 in Computers & Accessories)
#199 in Traditional Laptops",16-Apr-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",8.6 x 35.7 x 54.1 Centimeters,1 Piece,Laptop,1920 x 1080,,Headphones,2 x 2W speakers with Nahimic Audio & Sound Tracker,,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) Dell Latitude 3410 10th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel UHD Graphics),"22,174",https://www.amazon.in/Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D98JT4PP/ref=sr_1_205?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-205&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Dell,Dell,Dell Latitude,,Laptop,,,14 Inches,1366 x 768,,1 Lithium Ion batteries required.,,Intel,Intel Core i5,1.6 GHz,1,,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,,,Intel,Integrated,Shared,,,Wi-Fi,,,,,,Windows,,No,55 Kilowatt Hours,3,"Laptop, Power Cord, Battery",,1 kg 800 g,B0D98JT4PP,"3.6
7 ratings
3.6 out of 5 stars","#11,831 in Computers & Accessories (See Top 100 in Computers & Accessories)
#40 in Renewed Black Friday and Cyber Monday Sale
#369 in Traditional Laptops",11-Jul-24,,,,1.00 count,,1366 x 768 Pixels,,Headphones,,,,,,45 x 35 x 15 cm; 1.8 kg,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 5430 13th Gen Laptop, Intel i5-1335U/8GB LPDDR5/512GB SSD/ 14.0"" (35.56Cms) FHD+ Comfortview/Backlit KB/Win 11 + MSO'21/Mcafee 15 Months/Platinum Silver/Thunderbolt 4.0 Port/1.59KGs","53,490",https://www.amazon.in/Dell-Inspiron-i5-1335U-Comfortview-Thunderbolt/dp/B0B52RWGX2/ref=sr_1_206?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-206&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Dell,Dell India Pvt Ltd,Inspiron 5430,Silver,,,,14 Inches,,,1 AAA batteries required. (included),,Intel,Core i5,3.4 GHz,1,,Lpddr 5,,8 GB,512 GB,SSD,,Intel UHD Graphics,Intel,Integrated,DDR5 SDRAM,,Integrated,,,1,,,,Windows 11 Home,4 Hours,Yes,,4,Laptop Battery Cable,,1 kg 590 g,B0B52RWGX2,"3.8
5 ratings
3.8 out of 5 stars","#4,698 in Computers & Accessories (See Top 100 in Computers & Accessories)
#144 in Traditional Laptops",05-Dec-24,Dell India Pvt Ltd,Dell India Pvt Ltd,,1 Count,Laptop,,,,,2,,,,42 x 35.5 x 6.8 cm; 1.59 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 5400 Intel Core i5 Mobile-8th Gen -Processor , 16 GB Ram & 1TB SSD, 14 Inches FHD 1080p Screen Notebook Computer","21,999",https://www.amazon.in/Refurbished-Dell-Latitude-Mobile-8th-Processor/dp/B0CGRLB8NC/ref=sr_1_207?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-207&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Dell,Dell,5400-i5,Black,Laptop,,,14 Inches,1920 x 1080 pixels,,1 Lithium Ion batteries required.,5400-i5-16-1TB-cr,Intel,Core i5 8250U,1.6 GHz,1,16 GB,DDR4,DDR4 SDRAM,16 GB,1 TB,SSD,Serial ATA,,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,,2,1,,,Windows 10 Pro,,No,55 Kilowatt Hours,3,"Laptop, Battery, Charger with Power Cable",,1 kg 570 g,B0CGRLB8NC,"3.4
32 ratings
3.4 out of 5 stars","#6,596 in Computers & Accessories (See Top 100 in Computers & Accessories)
#12 in 4 star rated refurbished products
#212 in Traditional Laptops",28-Aug-23,,,,1.00 count,,1920 x 1080 Pixels,,Speakers,,,No Optical Drive,Battery Powered,Windows,20 x 20 x 10 cm; 1.57 kg,,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS TUF Gaming F15, 15.6"" (39.62cm) FHD 144Hz, 13th Gen Intel Core i7-13620H, Gaming Laptop (16GB DDR5/512GB SSD/NVIDIA GeForce RTX 4060 /Windows 11//Mecha Gray/2.20 Kg), FX507VV-LP287W","1,02,490",https://www.amazon.in/ASUS-39-62cm-i7-13620H-GeForce-FX507VV-LP287W/dp/B0D25TQNN7/ref=sr_1_208?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-208&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,ASUS,ASUS,ASUS TUF Gaming F15,"Mecha Gray, With Offer",Ultra-Portable,43.1 Centimeters,31.2 Centimeters,15.6 Inches,1920 x 1080 pixels,10.5 x 31.2 x 43.1 cm; 2.2 kg,1 Lithium Polymer batteries required. (included),FX507VV-LP287W_WO,Intel,Core i7,2.4 GHz,10,16,DDR5,SODIMM,32 GB,512 GB,SSD,PCIE x 4,NVIDIA GeForce RTX 4060,NVIDIA,Dedicated,GDDR6,8 GB,"PCI Express, Integrated","Bluetooth, Wi-Fi","Bluetooth, 802.11ax",3,1,20 Volts,2800 Watts,Windows 11 Home,,Yes,90 Watt Hours,4,"Laptop, Charging Adapter & User Manual",China,2 kg 200 g,B0D25TQNN7,"4.4
15 ratings
4.4 out of 5 stars","#10,127 in Computers & Accessories (See Top 100 in Computers & Accessories)
#332 in Traditional Laptops",19-Apr-24,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",10.5 x 31.2 x 43.1 Centimeters,1 Count,Gaming Laptop,1920 x 1080,4800 MHz,"Headphones, Speakers",,,No Optical Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, Micro-Edge, BrightView, IPS, 14-inch(35.6cm) FHD Laptop, HD Camera, Backlit KB, B&O (Win 11, Office 21, Silver, 1.41kg) dv2053TU","52,990",https://www.amazon.in/HP-Pavilion-Micro-Edge-Graphics-14-dv2053TU/dp/B0B1MDHJCC/ref=sr_1_210?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-210&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,HP,HP,14-dv2053TU,Natural Silver,Laptop,17 Millimeters,21.7 Centimeters,14 Inches,1920 x 1080 pixel,32.5 x 21.7 x 1.7 cm; 1.41 kg,1 Lithium Ion batteries required. (included),14-dv2053TU,Intel,Core i5,4.4 GHz,1,8 GB,DDR4,SDRAM,8 GB,512 GB,SSD,USB,Intel UHD Graphics,Intel,Integrated,VRAM,8 GB,Integrated,"Bluetooth, Wi-Fi",Bluetooth,2,1,37.2 Volts,,Windows 11 Home,8 Hours,Yes,43 Watt Hours,3,"HP Laptop,AC power adapter, user manuals",,1 kg 410 g,B0B1MDHJCC,"4.0
103 ratings
4.0 out of 5 stars","#7,887 in Computers & Accessories (See Top 100 in Computers & Accessories)
#248 in Traditional Laptops",19-May-22,HP India Sales Pvt Ltd,HP India Sales Pvt Ltd,32.5 x 21.7 x 1.7 Centimeters,1 Pack,Laptop,1920 x 1080 Pixels,,"Headphones, Speakers",,,,Battery Powered,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Ideapad Flex 5 AMD Ryzen 5 5500U 14"" (35.5Cm) WUXGA+ IPS 2-In-1 Laptop (16GB/512GB SSD/Windows 11/Ms Office Home 2024/Backlit Kb/Fingerprint/Fhd Camera/3 Month Game Pass/Grey/1.55Kg),82R900HPIN","57,990",https://www.amazon.in/Lenovo-IdeaPad-Backlit-Fingerprint-82R9005JIN/dp/B0D3LD1LY4/ref=sr_1_211?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-211&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Lenovo,Lenovo,IdeaPad Flex 5 14ALC7,Storm Grey,Convertible,,,14 Inches,1920 x 1200 pixel,,1 Lithium Polymer batteries required. (included),82R9005JIN,AMD,Ryzen 5,2.1 GHz,6,,LPDDR4X,DDR4 SDRAM,16 GB,512 GB,SSD,PCIE x 4,AMD Radeon,AMD,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,3,,,,Windows 11 Home,7.5 Hours,Yes,52.5 Watt Hours,3,"User Guide, Laptop, Power Adapter, Lenovo Digital Pen",China,1 kg 550 g,B0D3LD1LY4,"5.0
1 rating
5.0 out of 5 stars","#6,677 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3 in 2 in 1 Laptops",08-May-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,Laptop,1920 x 1200 Pixels,,"Headphones, Speakers","Front-facing stereo speakers, 2W x2, optimized with Dolby Audio",,No Optical Drive,,,48.1 x 29.9 x 6.9 cm; 1.55 kg,7 Hours,4266 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
