title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_RAM Size,tech_Computer Memory Type,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Package Dimensions,tech_Memory Clock Speed,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Optical Drive Type,tech_Speaker Description,tech_Rear Webcam Resolution,tech_Power Source,tech_Hardware Platform,tech_Hard Disk Rotational Speed,tech_Wireless Type,tech_Lithium Battery Weight,tech_Front Webcam Resolution,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Colour Screen,tech_Audio Output Type,tech_Video Output,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Has audio recording capabilities,tech_Supports Bluetooth Technology,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Battery Average Life,tech_Battery Average Life Standby
"(Refurbished) HP Chromebook 14a,Intel Celeron N4500 14inch(35.6 cm) FHD Touchscreen Laptop (4 GB SDRAM/64 GB eMMC/Chrome 64 /Fast Charge/Dual Speakers/Google Assistant Built-in/Mineral Silver),14a- na1004TU","19,086",https://www.amazon.in/HP-Chromebook-Touchscreen-Assistant-14a/dp/B0BHMGPTCZ/ref=sr_1_1019?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1019&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,intel,14a- na1004TU,Mineral Silver,Netbook,18 Millimeters,21.8 Centimeters,35.6 Centimetres,1920 x 1080 pixel,1920 x 1080,32.5 x 21.8 x 1.8 cm; 1.46 kg,,14a- na1004TU-cr,Intel,Celeron N,2.8 GHz,1,LPDDR4,4 GB,SSD,"Headphones, Speakers",Intel,Integrated,VRAM,,"Bluetooth, Wi-Fi",Chrome OS,,Yes,47 Watt Hours,2,"Laptop, Power Adapter",,1 kg 460 g,B0BHMGPTCZ,"4.7
10 ratings
4.7 out of 5 stars","#52,486 in Computers & Accessories (See Top 100 in Computers & Accessories)
#75 in Like new products by Amazon Renewed
#159 in 4 star rated refurbished products
#543 in Valentine's Day (Amazon Renewed)",7 October 2022,,,32.5 x 21.8 x 1.8 Centimeters,,laptop,4 GB,DDR4 SDRAM,64 GB,Serial ATA-300,Intel UHD Graphics,4 GB,,,1,,,,,,Dual speakers (stereo),,,,5400 RPM,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude 5290 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Intel UHD Graphics)","21,399",https://www.amazon.in/Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D8CMQJC4/ref=sr_1_1020?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1020&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Dell,Dell,Dell Latitude,,Laptop,,,12.5 Inches,1366 x 768,1366 x 768 Pixels,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,2.5 GHz,1,DDR4,16 GB,SSD,Headphones,Intel,Integrated,Shared,,"Bluetooth, Wi-Fi",Windows,,Yes,55 Kilowatt Hours,3,"Laptop, Power Cord, Battery",,1 kg 500 g,B0D8CMQJC4,"4.1
14 ratings
4.1 out of 5 stars","#54,499 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,634 in Traditional Laptops",28 June 2024,,,,1.00 count,,,,512 GB,,,,48.1 x 30.8 x 6.4 cm; 1.5 kg,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 Intel Core 5-120U 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/1Yr ADP Free/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 83E6001JIN","61,990",https://www.amazon.in/Lenovo-IdeaPad-5-120U-39-6cm-83E6001JIN/dp/B0D86WC2NP/ref=sr_1_1021?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1021&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,IdeaPad Slim 3,Arctic Grey,Thin & Light,48.5 Centimeters,33.1 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,7.5 x 33.1 x 48.5 cm; 2.46 kg,1 Lithium Polymer batteries required. (included),15IRU9,Intel,Core i5,1.4 GHz,10,DDR5,16 GB,SSD,Speakers,Intel,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,8 Hours,Yes,47 Watt Hours,4,Laptop,China,2 kg 460 g,B0D86WC2NP,,"#62,799 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,928 in Traditional Laptops",27 June 2024,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",7.5 x 33.1 x 48.5 Centimeters,1 Piece,Laptop,16,DDR5 RAM,512 GB,PCIE x 4,Integrated Intel Graphics,,,,1,2,,,,No Optical Drive,"User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 14, 12th Gen Intel Core i3, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & Light, Intel UHD Graphics, Dual Speakers (Win 11, MSO 2021, Silver, 1.4 kg), 14-ep0068TU","38,300",https://www.amazon.in/HP-14-inch-Graphics-Speakers-14-ep0068TU/dp/B0C3D8KLFS/ref=sr_1_1033?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1033&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,14-Ep0068TU,Natural Silver,Netbook,45.3 Centimeters,31 Centimeters,35.6 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,7.2 x 31 x 45.3 cm; 1.41 kg,1 Lithium Ion batteries required. (included),14-Ep0068TU,Intel,Core i3,3.8 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,VRAM,Integrated,Bluetooth,Windows 11 Home,,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",India,1 kg 410 g,B0C3D8KLFS,"3.8
72 ratings
3.8 out of 5 stars","#43,842 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,280 in Traditional Laptops",24 April 2023,"CH39 - Inventec CQ Inventec (Chongqing) CORP No.66 West district 2nd Rd, Shapingba District, 401331 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",7.2 x 31 x 45.3 Centimeters,,Laptop,8 GB,,512 GB,,Intel UHD Graphics,,,3200 GHz,,2,1,45 Volts,,,Audio by B&O and Dual speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS TUF Gaming A15 (2023) 90WHr Battery, AMD Ryzen 7 7735HS AI Powered, 15.6"" FHD 144Hz, 6GB RTX 4050, Gaming Laptop (16GB/512GB SSD/Windows 11//1-Zone RGB/Gray/2.20 Kg), FA577NU-LP082W","99,890",https://www.amazon.in/ASUS-Gaming-Battery-Windows-FA577NU-LP082W/dp/B0C4TV9XG1/ref=sr_1_1034?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1034&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,ASUS,ASUS,TUF Gaming A15 (2023),"Jaeger Gray, With Offer",Gaming Laptop,42.8 Centimeters,10.2 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080,42.8 x 10.2 x 42.8 cm; 2.2 kg,1 Lithium Ion batteries required. (included),FA577NU-LP082W_WO,AMD,Ryzen 7,4.7 GHz,8,"SODIMM, SODIMM, SODIMM",32 GB,SSD,"Headphones, Speakers",NVIDIA,Dedicated,GDDR6,PCI Express,"Bluetooth, Wi-Fi",Windows 11 Home,,Yes,90 Watt Hours,4,"Laptop, Adapter & User Manual",India,2 kg 200 g,B0C4TV9XG1,"4.0
58 ratings
4.0 out of 5 stars","#45,601 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,337 in Traditional Laptops",17 May 2023,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",42.8 x 10.2 x 42.8 Centimeters,1 Count,Gaming Laptop,16 GB,SODIMM,512 GB,PCIE x 4,NVIDIA GeForce RTX 4050,6 GB,,4.7 GHz,1,3,1,20 Volts,240 Watts,No Optical Storage,,,Battery Powered,PC,,"Bluetooth, 802.11ax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Gaming G15-5530 Laptop, Intel 13th Gen i7-13650HX Processor, 16GB DDR5 + 1TB SSD, NVIDIA RTX 4050 6 GB GDDR6, 15.6"" (39.62cm) FHD 165Hz 100% sRGB, 4-Zone RGB Backlit KB, Dark Shadow Gray, 2.65 Kg","1,11,590",https://www.amazon.in/Dell-G15-5530-i7-13650HX-Processor-39-62cm/dp/B0D83NSS75/ref=sr_1_1035?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1035&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Dell,Dell India Pvt. Ltd.,G Series,Dark Shadow Gray with Black thermal shelf,Laptop,,,16 Inches,1920 x 1080 pixel,1920 x 1080,,1 Lithium Ion batteries required. (included),,NVIDIA,Core i7,4.9 GHz,1,DDR5,32 GB,SSD,Headphones,NVIDIA,Dedicated,DDR5 SDRAM,PCI Express,Bluetooth,Windows 11 Home,,Yes,86 Watt Hours,6,Laptop | Adapter | User Manual,China,2 kg 650 g,B0D83NSS75,,"#62,167 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,910 in Traditional Laptops",26 June 2024,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,1 count,Laptop,16,DDR5 RAM,,,,6 GB,58 x 34.9 x 8 cm; 2.65 kg,,1,4,,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, 15-inch (39.62 cms) FHD, AMD Ryzen 7 5800HS, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Quiet Blue/1.7 kg), M1502QA-EJ741WS","68,590",https://www.amazon.in/ASUS-Vivobook-Integrated-Graphics-M1502QA-EJ741WS/dp/B0CRL6WWQ9/ref=sr_1_1036?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1036&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,ASUS,ASUS,,,Ultra-Portable,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),M1502QA-EJ741WS,AMD,Ryzen 7,3.2 GHz,8,,,SSD,,,Integrated,Shared,Integrated,,Windows 11 Home,,,,,,India,1 kg 700 g,B0CRL6WWQ9,"4.2
1,497 ratings
4.2 out of 5 stars","#232,939 in Electronics (See Top 100 in Electronics)
#1,555 in Traditional Laptops",5 April 2024,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,16,SODIMM,512 GB,Solid State,AMD Radeon™ Graphics,,48.5 x 29.1 x 6.4 cm; 1.7 kg,,,,,19 Volts,,No Optical Storage,,,,,,802.11ax,,,,M1502QA-EJ741WS,ASUS Vivobook 15,2023,512 GB,2,512 GB,16 GB,16 GB,DDR4,5800HS,Solid State Drive,Anti Glare Coating,Amd Ryzen 7 5800H/Hs,"Laptop, Adapter & User Manual",1,Microsoft Office 365,LED,LED,Yes,"Headphones, Speakers",HDMI,Yes,Yes,Lithium Polymer,60 Hz,3,4,Chiclet,"Bluetooth, Wi-Fi, USB, HDMI",Touch Pad,Yes,Yes,,,,
"MSI Modern 15, AMD Ryzen 5-7530U, 40CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/AMD Radeon Graphics/Classic Black/1.7Kg), B7M-071IN","43,990",https://www.amazon.in/MSI-Modern-15-Graphics-B7M-071IN/dp/B09Y54RW2X/ref=sr_1_1037?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1037&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,MSI,MSI,Modern 15 B7M-071IN,black,Ultra-Portable,19 Millimeters,24.1 Centimeters,40 Centimetres,,,35.9 x 24.1 x 1.9 cm; 1.7 kg,1 LR44 batteries required. (included),Modern 15 B7M-071IN,AMD,Ryzen 5,4.5 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,,Yes,39.3 Watt Hours,3,"Laptop, Power Adapter",,1 kg 700 g,B09Y54RW2X,"4.3
54 ratings
4.3 out of 5 stars","#47,356 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,394 in Traditional Laptops",2 March 2023,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",35.9 x 24.1 x 1.9 Centimeters,1 Piece,Laptop,16 GB,,,PCIE x 4,AMD Radeon Graphics,,,,2,2,,3.6 Volts,,,,,Battery Powered,"PC, Linux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor , 8 GB Ram & 256 GB SSD, 13.3 Inches 1.69Kg Notebook Computer","18,300",https://www.amazon.in/Refurbished-Dell-Latitude-Mobile-7th-Processor/dp/B0CXXMHPGB/ref=sr_1_1038?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1038&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Dell,Dell,3380-i5,Black,Laptop,,,13.3 Inches,1920 x 1080 pixels,1366 x 768 Pixels,,,3380-i5-8-256-n-cr,Intel,Core i5 Family,2.5 GHz,1,DDR4,8 GB,SSD,,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,,No,,,"Laptop, Battery, Charger with Power Cable",,1 kg 690 g,B0CXXMHPGB,"4.1
33 ratings
4.1 out of 5 stars","#55,686 in Computers & Accessories (See Top 100 in Computers & Accessories)
#176 in 4 star rated refurbished products
#1,673 in Traditional Laptops",13 March 2024,RENTOPCDOTCOM-7011898220,,,1.00 count,,,,,,,,48.6 x 30.8 x 6.2 cm; 1.69 kg,,,3,1,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVITA Liber E 12th Gen Intel core i3 Upto 4.40 GHz 8GB RAM 512GB SSD Expandable Upto 2TB 10 MB Smart Cache Intel® UHD Graphics 15.6 FHD IPS Display Windows 11 Home Thin & Light Silver 1.84 Kg,"25,990",https://www.amazon.in/AVITA-All-new-15-6-inch-Display-Silver/dp/B0CRVJLWK5/ref=sr_1_1039?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1039&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,AVITA,AVITA Technologies International Company Ltd,AM15A2INT56F-SLF,Silver,Laptop,42.8 Centimeters,32.8 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,9.2 x 32.8 x 42.8 cm; 1.84 kg,,,Intel,Intel Core i3,3.3 GHz,1,DDR4,16 GB,SSD,,Intel,Integrated,DDR4 SDRAM,Integrated,Bluetooth,Windows 11 Home,,,,,"Adapter,,,,,",China,1 kg 840 g,B0CRVJLWK5,"4.0
4 ratings
4.0 out of 5 stars","#61,957 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,896 in Traditional Laptops",9 January 2024,Futopia Global Pvt Ltd,Futopia Global Pvt Ltd,9.2 x 32.8 x 42.8 Centimeters,1 Count,Laptop,,,512 GB,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
