title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Net Quantity,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Rear Webcam Resolution,tech_Front Webcam Resolution,tech_Average Battery Life (in hours),info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Generic Name,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Device type,tech_Item dimensions L x W x H,tech_Recommended Uses For Product,tech_Theme,tech_Cartoon Character,tech_Special Feature,tech_Number of Pieces,tech_Style,tech_Age Range (Description),tech_Reusability,tech_Item Form,tech_Pattern,tech_Indoor/Outdoor Usage,tech_Finish Type,tech_Number of Items,tech_Target Audience,tech_ASIN,info_Manufacturer,info_Item Weight
"Lenovo Legion 7 Intel Core i9-14900HX 16"" (40.64cm) 3.2K IPS 430Nits 165Hz Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4070 8GB/100% DCI-P3/3 Month Game Pass/Grey/2.24Kg), 83FD000XIN","2,09,490",https://www.amazon.in/Lenovo-i9-14900HX-40-64cm-430Nits-83FD000XIN/dp/B0CXXN4FD3/ref=sr_1_1379?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1379&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Lenovo,Lenovo,Legion 7,Eclipse Black,Gaming Laptop,16 Inches,3200x2000,3200x2000 Pixels,,1 Lithium Polymer batteries required. (included),16IRX9,Intel,Intel Core i9,5.8 GHz,24,32,DDR5,32 GB,1 TB,SSD,PCIE x 4,,"Headphones, Speakers",NVIDIA,Dedicated,Shared,PCI Express,Wi-Fi,,,5,No Optical Drive,,,Windows 11 Home,Yes,,,4,"User Guide, Laptop, Adapter",China,2 kg 240 g,B0CXXN4FD3,"3.9
4 ratings
3.9 out of 5 stars","#90,905 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,878 in Traditional Laptops",13 March 2024,1 Piece,51.4 Centimeters,33.7 Centimeters,11.3 x 33.7 x 51.4 cm; 2.24 kg,DDR5 RAM,,"Stereo speakers, 2W x2, audio by HARMAN, optimized with Nahimic Audio",NVIDIA GeForce RTX 4070,8 GB,,,,,,6 Hours,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",11.3 x 33.7 x 51.4 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell G15-5535 Gaming Laptop, AMD R5-7640HS, 16GB DDR5, 1TB SSD, NVIDIA RTX 3050 6 GB GDDR6, 15.6"" (39.62cm) FHD 120Hz, Orange Backlit KB, Dark Shadow Gray, Win 11 + MSO'21 + 15 Month McAfee, 2.65kg","82,490",https://www.amazon.in/Dell-G15-5535-R5-7640HS-39-62cm-Backlit/dp/B0CWVKMJ74/ref=sr_1_1380?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1380&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Dell,DELL,G Series,Gray,Laptop,15.6,1920 x 1080 pixel,1920x1080 (full hd),,,g15,Intel,Ryzen 5,4 GHz,1,8,DDR5,8 GB,,SSD,,,Headphones,NVIDIA,Dedicated,GDDR6,Integrated,Wi-Fi,,,4,,,,Windows 11 Home,,,,,"Laptop, Power Cable, User Manual",China,4 kg 460 g,B0CWVKMJ74,"4.0
1 rating
4.0 out of 5 stars","#99,773 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,159 in Traditional Laptops",1 March 2024,1 Piece,58 Centimeters,34.9 Centimeters,7.7 x 34.9 x 58 cm; 4.46 kg,,,,NVIDIA GeForce RTX 3050,6 GB,1,,,,,,Dell India Pvt Ltd,Dell India Pvt Ltd,7.7 x 34.9 x 58 Centimeters,LAPTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo V15 G3 IAP Laptop 12th Generation Intel Core i3-1215U / 8GB DDR4 / 512 GB SSD PCIe / 15.6 FHD TN Display/Windows 11 / Silver (Grey) / 1 Year Onsite Warranty,"31,790",https://www.amazon.in/Lenovo-Generation-i3-1215U-Display-Warranty/dp/B0C73XFP53/ref=sr_1_1381?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1381&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Lenovo,intel,,grey,Laptop,15.6 Inches,1920 x 1080 pixel,,,,82YU0044GE,Intel,Core i3,2.4 GHz,1,,DDR4,16 GB,512 GB,,,7200 RPM,Speakers,Intel,,,,"Bluetooth, Wi-Fi",802.11bgn,,,,Battery Powered,,,,,,,,China,,B0C73XFP53,"3.3
3 ratings
3.3 out of 5 stars","#85,875 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,711 in Traditional Laptops",23 May 2022,1.00 Set,,,,DIMM,,,,,,20 Volts,,,,,,,,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) DELL LATITUDE 7480 (CORE i5-7300U 2.6Ghz 7th GEN/8GB/512GB SSD/WEBCAM/14''/WIN PRO) 1 Year Warranty,"21,890",https://www.amazon.in/Renewed-DELL-LATITUDE-i5-7300U-Warranty/dp/B0BNGJNLSR/ref=sr_1_1382?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1382&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Dell,Dell Computers,DELL LATITUDE 7480-cr,Black,Laptop,14 Inches,1920 x 1080 pixels,1920 x 1080,44.2 x 37 x 10.3 cm; 2.49 kg,1 Lithium Ion batteries required. (included),DELL LATITUDE 7480-cr,Intel,Core i5 Family,2.6 GHz,1,8 GB,DDR4,32 GB,512 GB,SSD,,5400 RPM,Speakers,Intel,Integrated,SDRAM,Integrated,Wi-Fi,,,2,No Optical Device,,Windows,Windows 10 Pro,Yes,4 Watt Hours,100 Grams,3,"1, With Adapter",China,2 kg 490 g,B0BNGJNLSR,"3.0
9 ratings
3.0 out of 5 stars","#94,969 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,018 in Traditional Laptops",27 November 2022,1.00 count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) DELL LATITUDE 7480 (CORE i5-7300U 2.6Ghz 7th GEN/8GB/512GB SSD/WEBCAM/14''/WIN PRO) 1 Year Warranty,"21,890",https://www.amazon.in/Renewed-DELL-LATITUDE-i5-7300U-Warranty/dp/B0BNGJNLSR/ref=sr_1_1393?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1393&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Dell,Dell Computers,DELL LATITUDE 7480-cr,Black,Laptop,14 Inches,1920 x 1080 pixels,1920 x 1080,44.2 x 37 x 10.3 cm; 2.49 kg,1 Lithium Ion batteries required. (included),DELL LATITUDE 7480-cr,Intel,Core i5 Family,2.6 GHz,1,8 GB,DDR4,32 GB,512 GB,SSD,,5400 RPM,Speakers,Intel,Integrated,SDRAM,Integrated,Wi-Fi,,,2,No Optical Device,,Windows,Windows 10 Pro,Yes,4 Watt Hours,100 Grams,3,"1, With Adapter",China,2 kg 490 g,B0BNGJNLSR,"3.0
9 ratings
3.0 out of 5 stars","#94,969 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,018 in Traditional Laptops",27 November 2022,1.00 count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Intel IdeaPad 5 Laptop (16GB, Graphite Grey, Windows 10 Home, 1.66Kg)","62,520",https://www.amazon.in/Lenovo-IdeaPad-Fingerprint-Graphite-82FG0148IN/dp/B096SKBM59/ref=sr_1_1394?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1394&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Lenovo,Lenovo,,,Ultra-Portable,15.6 Inches,1922 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),82FG0148IN,Intel,Core i5,2.4 GHz,4,16 GB,,,1 TB,Solid State Drive,USB 3.2,,,,Dedicated,GDDR6,PCI Express,,Bluetooth,,,No Optical Drive,Battery Powered,PC,Windows 10 Home,,,,,,,1 kg 660 g,B096SKBM59,"4.1
131 ratings
4.1 out of 5 stars","#306,313 in Electronics (See Top 100 in Electronics)
#2,105 in Traditional Laptops",7 June 2021,1 Piece,,,35.7 x 23.3 x 1.8 cm; 1.66 kg,DDR4 SDRAM,,,,2 GB,,,,,,,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",35.7 x 23.3 x 1.8 Centimeters,Laptop,,,82FG0148IN,IdeaPad 5,2021,512 GB,2,512 GB,16 GB,16 GB,DDR4,CORE_I5-1135G7_2.4G_4C_MB,"USB, HDMI, SDXC, SDHC, Secure Digital Card",intel,"Laptop, Power Adapter, User Manual",3,"OFFICE_H&S_2019_IND, Windows Home",FHD,LED,"Headphones, Speakers",8 Hours,Yes,Yes,Polymer,3,Backlit,"USB, HDMI","Microphone, Keyboard",ultrabook,,,,,,,,,,,,,,,,,,
"Ramiya 4 in 1 Transparent Laptop Skin Combo Pack - 15.6-inch -with (Transparent Skin, Screen Guard, Keyboad Protector and LED Light) for All Models Upto (15.6""x 10.1"")",398,https://www.amazon.in/Ramiya-Transparent-Laptop-Skin-Combo/dp/B0848KS884/ref=sr_1_1395?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1395&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,RAMIYA,RAMIYA,,Multi-coloured,,,,,,,combo-SNS-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,"#68,065 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,114 in Traditional Laptops",,1.0 count,,,,,,,,,,,,,,,,,38.1 x 0.3 x 25.4 Centimeters,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1 x 0.3 x 25.4 Centimeters,Laptop,Laptop,Anime,Scratch Resistant,4,Classic,Adult,Single Use,Sheet,Printed,Indoor,Glossy,4,Adults who are anime fans,B0848KS884,RAMIYA,0.1 g
"(Refurbished) Dell Latitude Laptop 5400 Intel Core i5 Mobile-8th Gen -Processor, 8 GB Ram & 1TB SSD, 14 Inches FHD 1080p Touch Screen Notebook Computer","28,500",https://www.amazon.in/Dell-Latitude-Mobile-8th-Processor-Notebook/dp/B0BVBGVWX4/ref=sr_1_1396?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1396&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Dell,Dell,5400-i5-T,,Laptop,14 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,20 x 20 x 10 cm; 1.57 kg,,5400-i5-T-8-1TB-cr,Intel,Core i5 8250U,1.6 GHz,1,8 GB,DDR4,8 GB,1 TB,SSD,,,,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,,,2,No Optical Drive,,,Windows 10 Pro,,,,,"Laptop, Battery, Charger with Power Cable",,1 kg 570 g,B0BVBGVWX4,"5.0
1 rating
5.0 out of 5 stars","#105,780 in Computers & Accessories (See Top 100 in Computers & Accessories)
#287 in Renewed Store.
#3,356 in Traditional Laptops",9 February 2023,1.00 count,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6""(39.62cm) FHD Laptop (8GB/512GB SSD/Win 11/Office 2021/2Yr Warranty/Alexa Built in/3 Month Game Pass/Blue/1.63Kg), 82RK007JIN with 12Month No-Cost EMI","36,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK007JIN/dp/B0B7RXJWB4/ref=sr_1_1397?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1397&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Lenovo,Lenovo,Ideapad Slim 3 15IAU7,Abyss Blue,Thin & Light,15.6 Inches,1920 x 1080 pixel,1920x1080 Pixels,,1 Lithium Polymer batteries required. (included),82RK007JIN,Intel,Core i3,4.4 GHz,6,8 GB,DDR4,16 GB,,SSD,Serial ATA,,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1,2,No Optical Drive,Battery Powered,PC,Windows 11 Home,Yes,45 Watt Hours,,3,"Laptop, User Manual, Power Adapter",India,1 kg 630 g,B0B7RXJWB4,"2.8
2 ratings
2.8 out of 5 stars","#94,972 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,020 in Traditional Laptops",27 July 2022,1 Piece,20 Millimeters,23.7 Centimeters,35.9 x 23.7 x 2 cm; 1.63 kg,DDR4 SDRAM,,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,,1,,,,,10 Hours,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",35.9 x 23.7 x 2 Centimeters,Laptop,6 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Chromebook x360 13B Mediatek Kompanio 1200 13.3Inch(33.8Cm) FHD Touch Covertible Laptop Chrome OS (8GB Ram/256 GB SSD/B&O/7Mediatek Integrated ARM Mali Graphics/Backlit Kb/Chrome 64) 13B-Ca0006Mu,"46,150",https://www.amazon.in/HP-Chromebook-Covertible-Integrated-13b-ca0006MU/dp/B0BYT3QCGC/ref=sr_1_1398?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1398&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,HP,HP,13b-ca0006MU,Mica Silver,Netbook,33.8 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),13b-ca0006MU,MediaTek,MediaTek Helio,2.6 GHz,1,8 GB,LPDDR4,8 GB,256 GB,SSD,Serial ATA,,"Headphones, Speakers",MediaTek,Integrated,VRAM,PCI Express,"Bluetooth, Wi-Fi",,,1,,Battery Powered,,Chrome OS,Yes,47 Watt Hours,,2,"Laptop, Power Adapter, User Manual",China,1 kg 490 g,B0BYT3QCGC,"3.3
5 ratings
3.3 out of 5 stars","#84,602 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,668 in Traditional Laptops",17 March 2023,,17 Millimeters,20.9 Centimeters,30.8 x 20.9 x 1.7 cm; 1.49 kg,,,Dual speakers,MediaTek Integrated Arm Mali,8 GB,,,,,720 Pixels,16 Hours,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",30.8 x 20.9 x 1.7 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
