title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_RAM Size,tech_Memory Technology,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Connectivity Type,tech_Number of HDMI Ports,tech_Operating System,tech_Lithium Battery Energy Content,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Generic Name,tech_Batteries,tech_Processor Count,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Optical Drive Type,tech_Are Batteries Included,tech_Number of Lithium Ion Cells,info_Net Quantity,tech_Package Dimensions,tech_Number of USB 2.0 Ports,tech_Average Battery Life (in hours),tech_Speaker Description,tech_Hard Disk Rotational Speed,tech_Power Source,tech_Hardware Platform,tech_Processor Socket,tech_Wattage,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Lithium Metal Cells,tech_Rear Webcam Resolution,tech_Number of Ethernet Ports,tech_Number of Audio-out Ports
"HP Envy Move All in One 24,13th Gen Intel Core i5-1335U,23.8inch(60.5cm),QHD,Three Sided Micro Edge,16GB DDR5,1TB SSD,Bluetooth Keyboard,Win 11 Home,4.1Kg,24-cs0047in","1,27,990",https://www.amazon.in/HP-i5-1335U-23-8inch-Bluetooth-24-cs0047in/dp/B0CVH48F82/ref=sr_1_1322?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1322&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,HP,HP,24-cs0047in,White,All-in-One,36.7 Centimeters,14.9 Centimeters,23.8 Inches,2560 x 1440 pixels,,55.2 x 14.9 x 36.7 cm; 4.1 kg,24-cs0047in,Intel,Core i5,4.6 GHz,16 GB,DDR5,1 TB,SSD,,Integrated Graphics,Intel,Integrated,"Bluetooth, Wi-Fi, Infrared",,Windows 11 Home,83 Watt Hours,Keyboard,China,4 kg 100 g,B0CVH48F82,,"#90,817 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,875 in Traditional Laptops",12 February 2024,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,55.2 x 14.9 x 36.7 Centimeters,Desktop PC,1 Lithium Ion batteries required. (included),,,16 GB,,PCIE x 2,GDDR5,,Integrated,Bluetooth,,,,Yes,6,1 Pack,,1,,,,,,Socket A,,,,,,,
"MSI Prestige 16 AI Studio,Intel Core Ultra 9 185H,Built-in AI,41CM UHD+ OLED Thin and Light Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4060, GDDR6 8GB/Stellar Grey/1.9Kg),B1VFG-069IN","1,79,990",https://www.amazon.in/MSI-Prestige-Windows-GeForce-B1VFG-069IN/dp/B0CTTJ57VW/ref=sr_1_1323?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1323&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,MSI,MSI,Prestige 16 AI Studio,Stellar Gray,Laptop,49.9 Centimeters,33.6 Centimeters,41 Centimetres,3840 x 2400 pixel,,13.7 x 33.6 x 49.9 cm; 1.6 kg,,Intel,Core i9,1 GHz,32,Lpddr 5,,SSD,"Headphones, Speakers",NVIDIA GeForce RTX 4060,NVIDIA,Dedicated,Wi-Fi,,Windows 11 Home,99.9 Watt Hours,"Laptop, Power Adapter, MSI Laptop Bag",China,1 kg 600 g,B0CTTJ57VW,"2.7
3 ratings
2.7 out of 5 stars","#91,272 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,890 in Traditional Laptops",2 February 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",13.7 x 33.6 x 49.9 Centimeters,Laptop,1 Lithium Polymer batteries required. (included),1,DDR5 RAM,32 GB,,,GDDR6,8 GB,PCI Express,,1,1 Volts,,Yes,4,1 Count,,,10 Hours,,,,,,,,,,,,
"MSI Modern 15, AMD Ryzen 5-7530U, 40CM FHD 60Hz Laptop (8GB/512GB NVMe SSD/Windows 11 Home/AMD Radeon Graphics/Classic Black/1.7Kg), B7M-072IN","40,690",https://www.amazon.in/MSI-Modern-15-Graphics-B7M-072IN/dp/B0BZCSY21X/ref=sr_1_1324?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1324&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,MSI,MSI,Modern 15 B7M-072IN,black,Ultra-Portable,19 Millimeters,24.1 Centimeters,40 Centimetres,,,35.9 x 24.1 x 1.9 cm; 1.7 kg,Modern 15 B7M-072IN,AMD,Ryzen 5,4.5 GHz,16 GB,DDR4,,SSD,"Headphones, Speakers",AMD Radeon Graphics,AMD,Integrated,"Bluetooth, Wi-Fi",1,Windows 11 Home,39.3 Watt Hours,"Laptop, Power Adapter",Taiwan,1 kg 700 g,B0BZCSY21X,"3.8
23 ratings
3.8 out of 5 stars","#64,177 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,983 in Traditional Laptops",23 March 2023,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",35.9 x 24.1 x 1.9 Centimeters,Laptop,1 Lithium Polymer batteries required. (included),1,,8 GB,,PCIE x 4,Shared,,Integrated,,2,,DVD,Yes,3,1 Piece,,2,,,,Battery Powered,"PC, Linux",,,,,,,,
HP Envy x360 12th Gen Intel Core i7-13.3 inch(33.8 cm) OLED Multi-Touch Gorilla Glass 2-in-1 Laptop(16GB RAM/1TB SSD/400 nits/Win 11/Intel Iris Xe Graphics/Alexa/B&O/Zenvo Pen/MSO/1.32Kg) 13 bf0063TU,"1,22,900",https://www.amazon.in/HP-i7-13-3-Multi-Touch-Graphics-bf0063TU/dp/B0B63ZN3SD/ref=sr_1_1325?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1325&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,HP,HP Inc.,13 bf0063TU,Space Blue,Convertible,16 Millimeters,19.4 Centimeters,13.3 Inches,1920 x 1080 pixel,2880 x 1800 Pixels,30.6 x 19.4 x 1.6 cm; 1.32 kg,13 bf0063tu,Intel,Core i7,4.7 GHz,16 GB,LPDDR4,1 TB,SSD,"Headphones, Speakers",Intel Iris Xe Graphics,Intel,Integrated,"Bluetooth, Wi-Fi",,Windows 11 Home,66 Watt Hours,"Laptop, Power Adapter, Pen",,1 kg 320 g,B0B63ZN3SD,"3.8
13 ratings
3.8 out of 5 stars","#66,485 in Computers & Accessories (See Top 100 in Computers & Accessories)
#63 in 2 in 1 Laptops",8 July 2022,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,30.6 x 19.4 x 1.6 Centimeters,Laptop,1 Lithium Ion batteries required. (included),1,,16 GB,,,VRAM,,Integrated,,2,,No Optical Drive,Yes,4,1 Count,,,17 Hours,Audio by B&O; Dual speakers,,Battery Powered,,,65 Watts,8 Hours,,,,,
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (8 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","31,490",https://www.amazon.in/Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG1XGV2L/ref=sr_1_1326?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1326&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Acer,Acer,Aspire Lite,Steel Gray,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,AL15-41,AMD,Ryzen 5,2.3 GHz,,DDR4,,SSD,Speakers,AMD Radeon Graphics,AMD,Integrated,Wi-Fi,,Windows 11 Home,36 Watt Hours,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 590 g,B0DG1XGV2L,,"#95,497 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,030 in Traditional Laptops",2 September 2024,"ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111.","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",,Laptop,1 Lithium Ion batteries required. (included),1,DDR4 SDRAM,8 GB,,Solid State,DDR4 SDRAM,,Integrated,Bluetooth,2,,,Yes,3,1 Count,48 x 32.79 x 9.2 cm; 1.59 kg,2,,,,,,,,,0.5 Grams,3,,,
"(Refurbished) Dell Latitude Laptop 7480 Intel Core i5 - 7300u Processor 7th Gen, 8 GB Ram & 256 GB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.48KG) Notebook Computer","18,500",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-Intel/dp/B0CDQ5FN1Z/ref=sr_1_1327?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1327&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Dell,Dell,7480,Black,Laptop,2 Centimeters,23.5 Centimeters,14.1 Inches,1920 x 1080 pixels,HD (1366 X 768) Pixels,34 x 23.5 x 2 cm; 1.48 kg,7480-i5-7-8-256,Intel,Core i5 7200U,2.7 GHz,8 GB,DDR4,256 GB,SSD,,,Intel,Integrated,Wi-Fi,,Windows 10 Pro,,Laptop&Charger,India,1 kg 480 g,B0CDQ5FN1Z,"1.0
1 rating
1.0 out of 5 stars","#92,965 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,941 in Traditional Laptops",4 August 2023,,,34 x 23.5 x 2 Centimeters,,,1,,8 GB,,,DDR SDRAM,,Integrated,,3,,No Optical Drive,No,,1.00 count,,2,,,5400 RPM,Battery Powered,Windows,,,,,,,,
Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 1TB SSD - Black - ZIB-00031,"1,80,990",https://www.amazon.in/Microsoft-New-Surface-Pro-11th/dp/B0D926YC5T/ref=sr_1_1328?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1328&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Microsoft,Microsoft,Surface Pro,Black,Detachable,,,13 Inches,2880 x 1920 pixels,2880 x 1920 Pixels Per Inch,,ZIB-00031,Qualcomm,,3.4 GHz,,,1 TB,SSD,Speakers,Qualcomm,Qualcomm,Integrated,"Bluetooth, Wi-Fi",,Windows 11 Home,53 Watt Hours,"PSU, QSG, Power Adopter, Manual Book, Safety and Warranty documents",China,895 g,B0D926YC5T,"4.5
2 ratings
4.5 out of 5 stars","#87,572 in Computers & Accessories (See Top 100 in Computers & Accessories)
#96 in 2 in 1 Laptops",10 July 2024,"Tech-Com (Shanghai) Computer Co., Ltd. No. 68, SanZhuang Rd, Songjiang Export Processing Zone, Shanghai 201613, P.R. China","JAINA INDIA PRIVATE LIMITED Registered Office: D-170, OKHLA INDUSTRIAL AREA, PHASE 1, DELHI, 110020, INDIA",,Laptop,1 Lithium Ion batteries required. (included),1,DDR5 RAM,,,,DDR5 SDRAM,,Integrated,,,15 Volts,,Yes,4,1 Count,30.7 x 22.8 x 5 cm; 895 g,,10 Hours,Dolby Atmos,,,,,,,,,,,
"ASUS Vivobook Go 15 (2023) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Thin and Light Laptop (15.6 Inch, Cool Silver, 1.63 Kg, with MS Office)","34,790",https://www.amazon.in/ASUS-Vivobook-Ryzen-Quad-7520U/dp/B0D42BHWM8/ref=sr_1_1329?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1329&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,ASUS,ASUS INDIA PRIVATE LIMITED,E1504FA-NJ521WS,Cool Silver,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,E1504FA-NJ521WS,AMD,Ryzen 5,4.3 GHz,8 GB,Lpddr 5,512 GB,SSD,Speakers,AMD Radeon,AMD,Integrated,Wi-Fi,1,Windows 11 Home,,"LAPTOP, POWER ADAPTER, USER GUIDE",China,1 kg 630 g,B0D42BHWM8,"1.0
1 rating
1.0 out of 5 stars","#94,135 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,991 in Traditional Laptops",13 May 2024,TECH FRONT CHONGQING Computer Co Ltd NO 18 Zongbao Road Shapingba Dist Chongquing China,,,Business Laptop,,4,,8 GB,4.3 GHz,,Shared,,Integrated,,1,,,,,1.00 count,52.4 x 33.1 x 7.2 cm; 1.63 kg,1,,Built-in speaker,,,,,,,,,,,
"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC + 256 GB MicroSD Card | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)","18,490",https://www.amazon.in/Refurbished-HP-MicroSD-Bluetooth-Graphics/dp/B0CX1BCPQZ/ref=sr_1_1330?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1330&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,HP,HP,HP Chrome,Silver,"laptop, chromebook",,,14 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,,,Intel,Intel Core i5,1.7 GHz,,DDR4,64 GB,SSD,Headphones,,Intel,Integrated,"Bluetooth, Wi-Fi",,Windows,54 Watt Hours,"Laptop, Power Cord, Battery",,1 kg 610 g,B0CX1BCPQZ,"3.6
11 ratings
3.6 out of 5 stars","#62,882 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,924 in Traditional Laptops",4 March 2024,,,,,1 Lithium Ion batteries required. (included),1,,8 GB,,,Shared,,,,,,,Yes,3,1.00 count,48.1 x 30.6 x 6.4 cm; 1.61 kg,,,,,,,,,,,,,,
"MSI Raider GE68 HX, Intel 14th Gen. i9-14900HX, 41CM UHD+ MiniLED 120Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4090,GDDR6 16GB/Core Black/2.75Kg), 14VIG-469IN","3,48,290",https://www.amazon.in/MSI-Raider-i9-14900HX-MiniLED-14VIG-469IN/dp/B0CV77K7P1/ref=sr_1_1331?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1331&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,MSI,MSI,Raider GE68 HX,Core Black,Laptop,56.7 Centimeters,37.1 Centimeters,40.64 Centimetres,3840 x 2160 pixels,3840X2160 Pixels,15.1 x 37.1 x 56.7 cm; 6.2 kg,Raider Ge68 Hx,Intel,Core i9,5.8 GHz,32 GB,DDR5,,SSD,Headphones,NVIDIA GeForce RTX 4090,NVIDIA,Dedicated,Wi-Fi,,Windows 11 Home,99.9 Watt Hours,Laptop,,6 kg 200 g,B0CV77K7P1,"5.0
1 rating
5.0 out of 5 stars","#93,747 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,977 in Traditional Laptops",8 February 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",15.1 x 37.1 x 56.7 Centimeters,Laptop,1 Lithium Polymer batteries required. (included),1,,96 GB,,,GDDR6,,PCI Express,,3,14 Volts,,Yes,4,1 Count,,,,,,,,,,,,,,,
"HP Spectre x360 AI Laptop, Intel Core Ultra 7 155H, 12 TOPS, 32GB LPDDR5x, 1TB SSD (Win11, Office21, Blue, 1.9kg), Touchscreen, 2.8K, OLED, 16-inch(40.6cm), Intel Arc graphics, 9MP IR camera, aa0664TX","2,04,930",https://www.amazon.in/HP-Spectre-16-inch-GeForce-aa0664TX/dp/B0CRKN4D4S/ref=sr_1_1332?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1332&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,HP,HP,16-aa0664TX,Blue,Laptop,,,40.6 Centimetres,2880 x 1800 pixels,2880 x 1800 Pixels,,16-aa0664TX,Intel,Intel Core i7,4.8 GHz,,Lpddr 5,,SSD,Headphones,NVIDIA GeForce RTX 4050,Intel,Integrated,"Bluetooth, Wi-Fi",1,Windows 11 Home,83 Watt Hours,"Laptop, Power Adapter",China,2 kg 10 g,B0CRKN4D4S,,"#96,298 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,055 in Traditional Laptops",5 January 2024,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,,Laptop,,1,DDR5 RAM,32 GB,,,VRAM,6 GB,Integrated,,2,240 Volts,,Yes,6,1 Count,44.7 x 36.1 x 12.9 cm; 2.01 kg,1,,"Poly Studio, Quad speakers, HP Audio Boost, DTS:X® Ultra",,,,,,,,,,,
