title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_Memory Clock Speed,tech_Audio Details,tech_Speaker Description,tech_Number of USB 2.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Package Dimensions,tech_Average Battery Standby Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of Lithium Metal Cells,tech_Lithium Battery Weight,tech_Rear Webcam Resolution,tech_Front Webcam Resolution,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Number of Ethernet Ports
"MSI Modern 14, Intel 12th Gen. i5 1235U,36CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/Iris Xe/Classic Black/1.4Kg),C12MO-1203IN","39,910",https://www.amazon.in/MSI-Modern-Windows-Classic-C12MO-1203IN/dp/B0D22M49ZQ/ref=sr_1_182?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-182&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,MSI,MSI,Modern 14,Classic Black,Laptop,43.1 Centimeters,34.6 Centimeters,36 Centimetres,1920 x 1080 pixel,28.4 x 34.6 x 43.1 cm; 1.4 kg,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i5,1.3 GHz,1,16,DDR4,,16 GB,512 GB,SSD,,Intel Iris Xe Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,,1,,,,Windows 11 Home,,Yes,39.3 Watt Hours,3,"User Guide, Laptop, Power Adapter",China,1 kg 400 g,B0D22M49ZQ,"4.1
6 ratings
4.1 out of 5 stars","#10,038 in Computers & Accessories (See Top 100 in Computers & Accessories)
#328 in Traditional Laptops",18 April 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",28.4 x 34.6 x 43.1 Centimeters,1 Count,Laptop,,,"Headphones, Speakers",,2,,,,,,,,,,,,,,,
"FUTOPIA Ultimus PRO Intel Dual Core ~2.4GHz (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3CNC43BN-MB Thin and Light Laptop (14 Inch, Matt Black, 1.2 kg)","12,990",https://www.amazon.in/FUTOPIA-Ultimus-2-4GHz-Storage-NU14U3CNC43BN-MB/dp/B0D98DS8ZR/ref=sr_1_193?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-193&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,FUTOPIA,"Futopia Global Pvt Ltd, Customer Support - 9871822776, Email:- support@futopia-global.com",NU14U3CNC43BN-MB,Black,Laptop,,,14.1 Inches,1366 x 768,,1 Lithium Ion batteries required.,NU14U3CNC43BN-MB,Intel,Celeron N4020,1.1 GHz,2,4,DDR4,DDR4 SDRAM,8 GB,,,Solid State,Intel UHD Graphics 600,Intel,Integrated,GDDR4,4 GB,Integrated,Wi-Fi,"802.11a/b/g/n/ac, Bluetooth",1,1,7.4 Volts,24 Watts,Window Home 11,10 Hours,,,1,"Laptop, Warranty Card, Charger, 1X User Manual",China,1 kg 200 g,B0D98DS8ZR,"3.8
20 ratings
3.8 out of 5 stars","#9,096 in Computers & Accessories (See Top 100 in Computers & Accessories)
#297 in Traditional Laptops",11 July 2024,Futopia Global Pvt Ltd,Futopia Global Pvt Ltd,,1 Count,Laptop,,1.1 GHz,Speakers,Intel HD Audio,1,,,,39.2 x 32.7 x 8.9 cm; 1.2 kg,,,,,,1 MP,,,,,
"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home/MS Office Home and Student) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display","23,990",https://www.amazon.in/Acer-SmartChoice-Processor-Graphics-Z2-493/dp/B0BY1VKP2D/ref=sr_1_194?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-194&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,Acer,Z2-493,Acer One 14 Z2-493,Silver,laptop,21 Millimeters,32.6 Centimeters,14 Inches,1366 x 768 pixel,22.7 x 32.6 x 2.1 cm; 1.5 kg,1 Lithium Ion batteries required. (included),Z2-493,AMD,Ryzen 3 3250U,2.6 GHz,1,8 GB,DDR4,DDR4 SDRAM,32 GB,,SSD,Solid State,AMD Radeon Graphics,AMD,Integrated,DRAM,8 GB,Integrated,Wi-Fi,802.11ac,3,1,240 Volts,36 Watt Hours,Windows 11 Home,,Yes,,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 500 g,B0BY1VKP2D,"3.8
116 ratings
3.8 out of 5 stars","#5,675 in Computers & Accessories (See Top 100 in Computers & Accessories)
#181 in Traditional Laptops",10 March 2023,"Clevo, KAPOK COMPUTER(KUNSHAN) CO.LTD, NO.200 The Second Street Kunshan Export Processing Zone, JIANGSU, KUNSHAN ,215300 CHINA","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",22.7 x 32.6 x 2.1 Centimeters,1 Count,Laptops,1366 X 768 (HD) Pixels,,Speakers,,,,,,,,,3,,,,,,,,
"(Refurbished) Lenovo Thinkpad T470 (i5, 6th Gen / 8GB RAM / 256 GB SSD / 14"" FHD Screen / Windows / 6 Months Warranty )","14,500",https://www.amazon.in/Refurbished-Lenovo-Thinkpad-T470-Warranty/dp/B0D54FL8HD/ref=sr_1_195?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-195&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,Lenovo,Lenovo,Lenovo Thinkpad T470,,Laptop,,,14 Inches,1920 x 1080 pixels,,2 Lithium Ion batteries required. (included),Lenovo Thinkpad T470,Intel,Intel Core i5,2.5 GHz,1,,DDR4,,8 GB,256 GB,SSD,,,Intel,Integrated,GDDR5,,Integrated,Wi-Fi,,1,,,,Windows,,Yes,0.5 Watt Hours,4,"Laptop, Power Cord, Battery",,2 kg 200 g,B0D54FL8HD,"4.3
3 ratings
4.3 out of 5 stars","#7,306 in Computers & Accessories (See Top 100 in Computers & Accessories)
#17 in Renewed Store.
#19 in Best Offers from Renewed
#231 in Traditional Laptops",24 May 2024,Renewed Seller,,,1.00 count,Laptop,1920 x 1080 Pixels,,Headphones,,1,,,,50.79 x 32.1 x 7.7 cm; 2.2 kg,,,,,,,,,,,
"Lenovo Ideapad 5 2-in-1 13th Gen Intel Core i7 13620H 14"" (35.5cm) WUXGA OLED 400Nits Convertible Laptop (16GB/512GB SSD/Win 11/MSO/FPR/FHD Camera/1Yr ADP Free/3Mon.Game Pass/Grey/1.5kg), 83KX0019IN","84,690",https://www.amazon.in/Lenovo-Ideapad-Convertible-3Mon-Game-83KX0019IN/dp/B0DFLQZMJD/ref=sr_1_196?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-196&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,Lenovo,Lenovo,IdeaPad 5 2-in-1,Luna Grey,Convertible,,,14 Inches,1920 x 1200 pixel,,1 Lithium Polymer batteries required. (included),14IRH9,Intel,Intel Core i7,3.6 GHz,10,16 GB,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,PCIE x 4,,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,,,78 Volts,,Windows 11 Home,10 Hours,Yes,,4,"User Guide, Laptop, Power Adapter, Lenovo Digital Pen",China,1 kg 500 g,B0DFLQZMJD,"4.5
2 ratings
4.5 out of 5 stars","#11,634 in Computers & Accessories (See Top 100 in Computers & Accessories)
#5 in 2 in 1 Laptops",29 August 2024,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Count,Laptop,1920 x 1200 Pixels,,"Headphones, Speakers","Stereo speakers, 2W x2, optimized with Dolby Atmos",,No Optical Drive,,,46.29 x 29.9 x 6.7 cm; 1.5 kg,,,,,,,,,,,
"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/NVIDIA RTX 3050 6GB Graphics/Win 11/Non-MSO/3 Mon. Game Pass/Grey/2.4Kg), 83GS003NIN","71,990",https://www.amazon.in/Lenovo-i5-12450HX-300Nits-Graphics-83GS003NIN/dp/B0D49RN3X6/ref=sr_1_197?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-197&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,Lenovo,Lenovo,LOQ,Luna Grey,Ultra-Portable,54.1 Centimeters,36.1 Centimeters,15.6 Inches,1920 x 1080 pixel,8.4 x 36.1 x 54.1 cm; 3.59 kg,1 Lithium Polymer batteries required. (included),15IAX9,Intel,Intel Core i5,2.4 GHz,8,16,DDR5,DDR5 RAM,32 GB,512 GB,SSD,,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,6 GB,PCI Express,Wi-Fi,,4,,10.8 Volts,10 Watts,Windows 11,6 Hours,Yes,60 Watt Hours,4,Laptop,China,3 kg 590 g,B0D49RN3X6,"3.6
37 ratings
3.6 out of 5 stars","#13,414 in Computers & Accessories (See Top 100 in Computers & Accessories)
#416 in Traditional Laptops",16 May 2024,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",8.4 x 36.1 x 54.1 Centimeters,1 Piece,Laptop,1920 x 1080,,Headphones,2 x 2W speakers with Nahimic Audio & Sound Tracker,,Not Available,,,,,,,,,,,,,,
"Acer Aspire 3 Intel Core i5-1235U Processor Laptop with 35.56 cm (14"") FHD LED-Backlit IPS Display (16GB RAM/512GB SSD/WiFi 6/Intel Graphics/Win11Home) A324-51, Backlit Keyboard, Steel Gray, 1.45KG","42,390",https://www.amazon.in/Acer-Processor-LED-Backlit-Win11Home-A324-51/dp/B0D9QLPY8B/ref=sr_1_198?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-198&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,Acer,Acer,Aspire 3,"Gray, 16GB/512GB/14.1""",Laptop,,,14 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),A324-51,Intel,Core i5,3.3 GHz,1,16,DDR4,DDR4 SDRAM,64 GB,,SSD,Solid State,,Intel,Integrated,DDR4 SDRAM,6 GB,Integrated,"Bluetooth, Wi-Fi",,3,,240 Volts,,Windows 11 Home,,Yes,45.6 Watt Hours,2,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",,1 kg 450 g,B0D9QLPY8B,"3.9
16 ratings
3.9 out of 5 stars","#7,140 in Computers & Accessories (See Top 100 in Computers & Accessories)
#224 in Traditional Laptops",18 July 2024,Tech Front Chongqing Computer Co Ltd 18 ZONGBAO ROAD SHAPINGBA DISTRICT Chongqing China 401332,"ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",,1 Count,laptop,1920 x 1080 Pixels,,Speakers,,1,,,,45.4 x 31.6 x 9.4 cm; 1.45 kg,,,,0.5 Grams,,2 MP,,,,,
"MSI Modern 15, Intel 12th Gen. i3-1215U, 40CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Classic Black/1.7Kg), B12M-612IN","33,999",https://www.amazon.in/MSI-i3-1215U-Windows-Graphics-B12M-612IN/dp/B0C9JFKHP2/ref=sr_1_199?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-199&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,MSI,MSI,Modern 15 B12MO-612IN,Classic Black,Laptop,47 Centimeters,7.7 Centimeters,40 Centimetres,1920 x 1080 pixel,47 x 7.7 x 47 cm; 1.7 kg,1 Lithium Polymer batteries required. (included),,Intel,Core i3,4.4 GHz,1,16 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,PCIE x 4,,Intel,Integrated,DDR4 SDRAM,,Integrated,"Bluetooth, Wi-Fi",,2,,,39 Watt Hours,Windows 11 Home,,Yes,39 Watt Hours,3,"Laptop,Power Adapter,",,1 kg 700 g,B0C9JFKHP2,"4.2
38 ratings
4.2 out of 5 stars","#12,271 in Computers & Accessories (See Top 100 in Computers & Accessories)
#376 in Traditional Laptops",10 July 2023,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",47 x 7.7 x 47 Centimeters,1 Count,Laptop,,,"Headphones, Speakers",,2,,Battery Powered,,,,,,,0.92 MP,,,,,,
"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/Office 21/FHD+IR Camera/Alexa/3 Mon GamePass/Grey/1.4Kg), 83DA003GIN","76,990",https://www.amazon.in/Lenovo-IdeaPad-WUXGA-OLED-GamePass-83DA003GIN/dp/B0CYGZSBRV/ref=sr_1_200?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-200&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,Lenovo,Lenovo,IdeaPad Slim 5,Cloud Grey,Ultra-Portable,47.9 Centimeters,30.1 Centimeters,14 Inches,1920 x 1200 pixel,6.9 x 30.1 x 47.9 cm; 1.46 kg,1 Lithium Polymer batteries required. (included),14IMH9,Intel,Core i5,4.5 GHz,14,16,Lpddr5x,DDR5 RAM,16 GB,1 TB,SSD,PCIE x 4,Integrated Intel Arc Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,,4,,,,Windows 11 Home,5 Hours,Yes,57 Watt Hours,3,Laptop,China,1 kg 460 g,B0CYGZSBRV,"4.0
11 ratings
4.0 out of 5 stars","#5,320 in Computers & Accessories (See Top 100 in Computers & Accessories)
#170 in Traditional Laptops",19 March 2024,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",6.9 x 30.1 x 47.9 Centimeters,1 Piece,Laptop,1920 x 1200 Pixels,,"Headphones, Speakers","Stereo speakers, 2W x2, optimized with Dolby Audio",,No Optical Drive,,,,,,,,,,,,,,
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Silver","94,990",https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0DLHWMPQL/ref=sr_1_201?dib=eyJ2IjoiMSJ9.KyJVora_XFKu2j74kNU1LICaCWN30G2N0Z6vU17VM7dNDnccZLYMdJ8Cdmz9BsB4MsyDP2M0ccDe0EKp5iUtnIwoLs7927rw_j56eqDckX8bh5fA734k2xsi6ChjgrzI5ZU0XSZczj12tgoiD44Kp31NZv4kpO1_hmua1ciptIg1Zf18osSDS9Yy9XMf0LznCptfP4tayyJWxobcyIpc-sYuFGld1Az5HrmGFduqHb1W6pLJq3xtc-SIS4XoJVOubN99PGOScO3X5tfOht86nhvfQxXIVSVb_wHr6dg0QfUZwVf3GxY3PqTYm8Jr2tukRFcPxHTZExBS8Merz8LwVVO7H7OyGBoAayfDATPqJrk.tKmye1eVVJgfLbZWMdP1PVTlrrSzTpStUVJK4dA2W0A&dib_tag=se&qid=1737554404&s=computers&sr=1-201&xpid=Fh4IXciGGCWbo,2025-01-22 19:39:14,,Apple,,,,,,,,,,MC7V4HN/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",,1 Count,"MacBook Air 13-inch (M2, 2022)",,,,,,,,,37.79 x 28.6 x 8.2 cm; 1.24 kg,,,,,,,B0DLHWMPQL,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 240 g,"USB-C Power Adapter, MacBook Air with M2 chip 1N, USB-C to MagSafe 3 Cable (2m) 1N",
