title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,info_Net Quantity,tech_Colour,tech_Package Dimensions,tech_Batteries,tech_Number of HDMI Ports,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,info_Packer,info_Importer,info_Generic Name,tech_Graphics Coprocessor,tech_Voltage,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Wireless Type,tech_Lithium Battery Weight,tech_Speaker Description,tech_Number of Ethernet Ports,tech_Rear Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Lithium Metal Cells,tech_Number of Audio-out Ports,tech_Number of Microphone Ports,tech_Item part number,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Processor Socket,tech_Controller Type,tech_Screen Size,tech_Hardware Interface,tech_Item dimensions L x W x H,tech_Number of Batteries,tech_Display Type,tech_Material
"(Refurbished) Dell 14 Laptop, Intel Core 12Th Generation I3-1215U/ 8Gb/ 512Gb Ssd/ 14.0""(35.56Cm) Fhd With /Windows 11 + Mso'21/15 Month Mcafee/Dark Silver/Spill-Resistant Keyboard/ 1.48Kg","30,166",https://www.amazon.in/Refurbished-Dell-Generation-i3-1215U-Spill-Resistant/dp/B0CKMSRGW3/ref=sr_1_902?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-902&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell India Pvt Ltd,Vostro 3420,laptop,19 Millimeters,32.3 Centimeters,14 Inches,1920*1080,,22 x 32.3 x 1.9 cm; 1.48 kg,Vostro 14-cr,Intel,Core i3 Family,0.9 GHz,1,8 GB,DDR4,16 GB,512 GB,SSD,,,Intel,Integrated,Shared,2 GB,,"Bluetooth, Wi-Fi",1,,,Battery Powered,,Windows 11 Home,Yes,"Laptop, Battery, AC Adapter, User Guide, Manuals",,1 kg 480 g,B0CKMSRGW3,"3.2
2 ratings
3.2 out of 5 stars","#41,199 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,182 in Traditional Laptops",7 October 2023,22 x 32.3 x 1.9 Centimeters,1 Count,Dark Silver,,,,2.6 Watt Hours,3,,,Laptop,INTEGRATED,,,,,2666 MHz,,,,,,,10 Hours,,,,,,,,,,,,,,,,,
(Refurbished) Lenovo ThinkPad X280 8th Gen Intel Core i7 Thin & Light FHD Laptop (16 GB DDR4 RAM/512 GB SSD/31.8 cm FHD/Windows 11/Integrated Graphics),"28,000",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Integrated-Graphics/dp/B0DQPLQPBN/ref=sr_1_913?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-913&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,Lenovo,Ultra-Portable,,,12.5 Inches,1920 x 1080 pixels,1920*1080 Pixels,,i7-8550U,Intel,Intel Core i7,1.8 GHz,1,,DDR4,16 GB,,SSD,,Headphones,Intel,Integrated,Shared,,,Bluetooth,,,,,,Windows 11,,"Laptop, Power Cord, Battery",,1 kg 160 g,B0DQPLQPBN,,"#47,730 in Computers & Accessories (See Top 100 in Computers & Accessories)
#70 in Best Offers from Renewed
#108 in Refurbished Deals
#1,407 in Traditional Laptops",17 December 2024,,1.00 count,black,30.77 x 20.98 x 1.74 cm; 1.16 kg,,1,,,,,,,,,,DDR4 SDRAM,,PCIE x 4,Bluetooth,,,,,,,,,,,,,,,,,,,,,,
"ASUS ROG Strix G16 (2024), 16 ""(40.64cm) QHD+ 240Hz, Intel Core i9 14900HX, Gaming Laptop (16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4070 /Windows 11/Office 2021/Eclipse Gray/2.50 Kg), G614JIR-N4062WS","1,99,990",https://www.amazon.in/ASUS-40-64cm-14900HX-GeForce-G614JIR-N4062WS/dp/B0D25V5MSM/ref=sr_1_914?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-914&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,ASUS,ASUS,ROG Strix G16,Ultra-Portable,41.9 Centimeters,33.6 Centimeters,16 Inches,2560 x 1600 pixels,2560 x 1600,10.4 x 33.6 x 41.9 cm; 4.58 kg,G614JIR-N4062WS,Intel,Core i9,2.2 GHz,24,16,DDR5,32 GB,,SSD,,Headphones,NVIDIA,Dedicated,GDDR6,8 GB,Integrated,Bluetooth,,3,No Optical Storage,,,Windows 11 Home,Yes,"Laptop, Charging Adapter & User Manual",,4 kg 580 g,B0D25V5MSM,"3.6
10 ratings
3.6 out of 5 stars","#50,567 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,496 in Traditional Laptops",19 April 2024,10.4 x 33.6 x 41.9 Centimeters,1 Count,Eclipse Gray,,1 Lithium Polymer batteries required. (included),,,4,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",Gaming Laptop,NVIDIA GeForce RTX 4070,20 Volts,4062 Watts,,SODIMM,5600 MHz,PCIE x 4,802.11ax,,,,,,,,,,,,,,,,,,,,,,
"HP Spectre x360 13th Gen Intel Evo Core i7-1360P 16 inch(40.6cm)UHD+OLED 500 nits Gorilla Glass Touch 2-in-1 Laptop(32GB RAM/1TB SSD/5MP(IR)Camera/Intel Arc Graphics/Backlit KB/FPR/B&O/Pen),16-f2005TX","1,72,790",https://www.amazon.in/HP-Spectre-i7-1360P-Graphics-16-f2005TX/dp/B0C1CLMLWX/ref=sr_1_915?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-915&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,16-f2005TX,Convertible,43.9 Centimeters,14.9 Centimeters,40.6 Centimetres,3840 x 2400 pixels,3840 x 2400 Pixels,43.9 x 14.9 x 43.9 cm; 2.01 kg,16-f2005TX,Intel,Core i7,5 GHz,1,32 GB,DDR4,32 GB,1 TB,SSD,7200 RPM,"Headphones, Speakers",Intel,Dedicated,GDDR6,4 GB,Integrated,"Bluetooth, Wi-Fi",,1,,,PC,Windows 11 Home,Yes,"Laptop, Power Adapter, Pen, User manual",China,2 kg 10 g,B0C1CLMLWX,,"#48,007 in Computers & Accessories (See Top 100 in Computers & Accessories)
#45 in 2 in 1 Laptops",4 April 2023,43.9 x 14.9 x 43.9 Centimeters,1 Count,Nightfall Black,,1 Lithium Ion batteries required. (included),1,83 Watt Hours,6,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,Laptop,Intel Arc A370M,230 Volts,,,DDR4 SDRAM,3200 MHz,Solid State,802.11ax,,Audio by B&O; Quad Speakers,,,,,,,,,,,,,,,,,,,,
"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 7 155H (14-inch OLED WQXGA+/16GB LPDDR5X/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO) SFG14-73, Pure Silver, 1.3 Kg","89,990",https://www.amazon.in/Acer-Premium-14-inch-Graphics-SFG14-73/dp/B0CYHGB3KJ/ref=sr_1_916?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-916&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Acer,Acer,Swift Go 14,Laptop,50.3 Centimeters,42.6 Centimeters,14 Inches,2880 x 1800 pixels,2880 x 1800 Pixels,10.1 x 42.6 x 50.3 cm; 1.3 kg,SFG14-73,Intel,Unknown,1.4 GHz,1,16,Lpddr 5,16 GB,,SSD,,Speakers,Intel,Integrated,DRAM,16 GB,Integrated,"Bluetooth, Wi-Fi",,,,,,Windows 11 Home,Yes,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 300 g,B0CYHGB3KJ,"4.8
7 ratings
4.8 out of 5 stars","#48,485 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,433 in Traditional Laptops",1 April 2024,10.1 x 42.6 x 50.3 Centimeters,1 Count,Silver,,1 Lithium Ion batteries required. (included),,65 Watt Hours,3,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",laptop,,,,,,,Solid State,,,,,,,,3,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/MS Office 2021/1 Year ADP Free/Cloud Grey/1.61Kg), 82R400BGIN","34,900",https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400BRIN/dp/B0CWRQV69R/ref=sr_1_917?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-917&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,IdeaPad 1 15ALC7,Ultra-Portable,,,15.6 Inches,1366 x 768,1920 x 1080 Pixels,,82R400BGIN,AMD,Ryzen 5,2.1 GHz,6,8 GB,DDR4,16 GB,512 GB,SSD,,"Headphones, Speakers",AMD,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",1,2,No Optical Drive,,,Windows 11 Home,Yes,"Laptop,User Manual,Power Adapter,,,,,,,,,,,,,,,,,",,1 kg 610 g,B0CWRQV69R,,"#47,118 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,386 in Traditional Laptops",29 February 2024,,1 Count,Cloud Grey,53.34 x 32.77 x 6.86 cm; 1.61 kg,1 Lithium Polymer batteries required. (included),1,42 Watt Hours,3,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",Laptop,Integrated AMD Radeon Graphics,,65 Watts,10 Hours,DDR5 RAM,,PCIE x 4,Bluetooth,,"Stereo speakers, 1.5W x2, Dolby Audio",,,,,,,,,,,,,,,,,,,,
"HP Victus, 12th Gen Intel Core i5-12450H, NVIDIA RTX 2050, 8GB DDR4, 512GB SSD (Win11, Office21, Silver,2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm)Flicker-free Gaming Laptop, Enhanced Cooling, fa1124TX","57,490",https://www.amazon.in/HP-I5-12450H-Anti-Glare-Dedicated-15-Fa1124Tx-Windows/dp/B0CR6MJZFZ/ref=sr_1_918?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-918&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,HP Laptop,Laptop,,,15.6 Centimetres,1920 x 1080 pixels,1920 x 1080,,15-fa1124TX,Intel,Core i5,4.4 GHz,1,,DDR4,8 GB,512 GB,SSD,7200 RPM,"Headphones, Speakers",NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,"Bluetooth, Wi-Fi",,,,,,Windows 11 Home,Yes,"laptop, charger",,2 kg 290 g,B0CR6MJZFZ,"4.0
1 rating
4.0 out of 5 stars","#44,286 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,297 in Traditional Laptops",29 December 2023,,1 Count,Mica Silver,52.4 x 36.6 x 6.9 cm; 2.29 kg,1 Lithium Polymer batteries required. (included),1,52.5 Watt Hours,3,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",Laptop,NVIDIA GeForce RTX 2050,11.25 Volts,,6 Hours,DDR4 SDRAM,4.4 GHz,Solid State,,210 Grams,Audio by B&O; Dual speakers; HP Audio Boost,1,,,,,,,,,,,,,,,,,,,
(Renewed) Lenovo ThinkPad 14 inches/35.56 cm HD Laptop - Intel Core i5 6th Gen/8 GB RAM/256 GB SSD/Windows 10 Pro/MS Office 19/Webcam/USB 3.0/WiFi/BT/Cardreader/Pan India Warranty/Integrated Graphics,"17,000",https://www.amazon.in/Lenovo-ThinkPad-Cardreader-Warranty-Integrated/dp/B098TKCLHV/ref=sr_1_919?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-919&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,ThinkPad,Laptop,0.8 Inches,8.2 Inches,14 Inches,1366 x 768,HD (1366 x 768) Pixels,35.56 x 20.83 x 2.03 cm; 2.6 kg,Lenovo ThinkPad -cr,Intel,Core i5 6200U,2.3 GHz,1,8 GB,DDR4,,256 GB,SSD,5400 RPM,"Headphones, Speakers",Intel,Integrated,,8 GB,,"Bluetooth, Wi-Fi",,3,,Battery Powered,Windows,Windows 10,Yes,"battery,laptop,powercord",China,2 kg 600 g,B098TKCLHV,"3.8
198 ratings
3.8 out of 5 stars","#40,108 in Computers & Accessories (See Top 100 in Computers & Accessories)
#28 in Renewed Clearance Store
#58 in Sankranti / Pongal Store
#69 in Christmas with Amazon Renewed",7 July 2021,35.6 x 20.8 x 2 Centimeters,,black,,1 Lithium Ion batteries required. (included),,54 Watt Hours,6,,,Lenovo ThinkPad,Intel HD Graphics 520,,,6 Hours,DDR3 SDRAM,,Solid State,Bluetooth,50 Grams,Stereo speakers,1,,,LED,,1,1,,,,,,,,,,,,,
ASUS Vivobook 15 X1502ZA-EJ321WS Intel® Core™ i3-1215U/8GB DDR4/512GB PCIe® 3.0 SSD / 15.6-inch/FHD (1920 x 1080) 16:9/Quiet Blue/Backlit KB/ Win11/MS Office,"31,990",https://www.amazon.in/ASUS-Vivobook-X1502ZA-EJ321WS-i3-1215U-15-6-inch/dp/B0CDXSMDGF/ref=sr_1_920?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-920&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,ASUS,DIGITEK CHONGQING LIMITED,Asus Vivobook 15,vivobook,,,15.6 Inches,1920 x 1080 pixels,,,,Intel,Core i3,4.4 GHz,1,8 GB,LPDDR4,8 GB,,SSD,,Speakers,Intel,Integrated,GDDR4,,Integrated,Wi-Fi,1,2,,,,Windows 11 Home,Yes,"Laptop, User Manual, Power Adapter",,2 kg 660 g,B0CDXSMDGF,"4.0
1 rating
4.0 out of 5 stars","#43,370 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,264 in Traditional Laptops",7 August 2023,,1.00 count,silver,48.79 x 29.1 x 6.4 cm; 2.66 kg,1 P76 batteries required. (included),,41 Watt Hours,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB, Win 11 + Mso'21 & 15 Month McAfee, Silver, Thin & Light- 1.62kg","53,490",https://www.amazon.in/Dell-Inspiron-i5-1334U-Processor-39-62cm/dp/B0D2Y13FZC/ref=sr_1_922?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-922&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell India Pvt Ltd,Inspiron 3530,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,Inspiron 3530,Intel,Core i5,4.6,1,8 GB,DDR4,16 GB,,SSD,,Speakers,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",1,2,,,,Windows 11 Home,Yes,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 620 g,B0D2Y13FZC,"4.1
189 ratings
4.1 out of 5 stars","#55,206 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,647 in Traditional Laptops",29 April 2024,,1 Count,Platinum Silver,45.9 x 35.6 x 6.9 cm; 1.62 kg,1 Lithium Ion batteries required. (included),,41 Watt Hours,3,Dell India Pvt Ltd,Dell India Pvt Ltd,Laptop,Intel UHD Graphics,,,7 Hours,DDR4 SDRAM,,Solid State,,,,,,,,,,,,,,,,,,,,,,,
