title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_RAM Size,tech_Computer Memory Type,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Package Dimensions,tech_Memory Clock Speed,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Optical Drive Type,tech_Speaker Description,tech_Rear Webcam Resolution,tech_Power Source,tech_Hardware Platform,tech_Hard Disk Rotational Speed,tech_Wireless Type,tech_Lithium Battery Weight,tech_Front Webcam Resolution,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Colour Screen,tech_Audio Output Type,tech_Video Output,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Has audio recording capabilities,tech_Supports Bluetooth Technology,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Battery Average Life,tech_Battery Average Life Standby,tech_Notebook Display Technology,tech_Number of Microphone Ports,tech_Number of Audio-out Ports,tech_Compatible Devices,tech_Cellular technology,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Processor Socket,tech_Audio Features Description,tech_Microphone format,tech_Item dimensions L x W x H,tech_Recommended Uses For Product,tech_Theme,tech_Cartoon Character,tech_Number of Pieces,tech_Style,tech_Reusability,tech_Pattern,tech_Finish Type
"HP Chromebook 15A Intel Celeron N4500 15.6 Inch (39.6Cm) Hd,Anti-Glare, Chrome OS Micro-Edge Laptop(4Gb Ram/128 Gb Emmc/Intel Uhd Graphics/Google Assistant/Chrome 64/Numeric Keypad) 15A- Na0012Tu","23,490",https://www.amazon.in/HP-Chromebook-Anti-Glare-11a-na0012TU/dp/B0BD7Z26BN/ref=sr_1_1157?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1157&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,HP,HP,15a- na,Forest Teal,Netbook,18 Millimeters,24.2 Centimeters,39.6 Centimetres,1366 x 768,,36.3 x 24.2 x 1.8 cm; 1.07 kg,1 Lithium Ion batteries required. (included),15a- na0012TU,Intel,Celeron,2.8 GHz,1,LPDDR4,4 GB,Emmc,"Headphones, Speakers",Intel,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",Chrome OS,24 Hours,Yes,47 Watt Hours,2,"Laptop, Power Adapter, User Manual",,1 kg 70 g,B0BD7Z26BN,"3.2
19 ratings
3.2 out of 5 stars","#50,657 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,495 in Traditional Laptops",06-Sep-22,"SG66 – QUANTA CQ,Tech-Front (CHongqing) computer CO.,LTD,18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",36.3 x 24.2 x 1.8 Centimeters,,Laptop,4 GB,,128 GB,,,4 GB,,,,1,,240 Volts,,,Dual speakers,,,,,Bluetooth,,720 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop E7480 Intel Core i5 - 6200u Processor 6th Gen, 4 GB Ram & 128 GB SSD,","17,990",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-E7480/dp/B09KH65X79/ref=sr_1_1158?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1158&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Dell,Dell,E7480,black,Notebook,2 Centimeters,23.5 Centimeters,14.1 Inches,1366 x 768,HD (1366 X 768) Pixels,34 x 23.5 x 2 cm; 1.37 kg,1 Lithium Ion batteries required.,E7480-i5-4-128-cr,Intel,Core i5-6260U,2.4 GHz,1,DDR4,4 GB,SSD,Speakers,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,,No,40 Watt Hours,4,"laptop, charger",India,1 kg 370 g,B09KH65X79,,"#70,758 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,221 in Traditional Laptops",27-Oct-21,,,34 x 23.5 x 2 Centimeters,1.00 count,laptop,4 GB,DDR4 SDRAM,128 GB,,,,,,2,1,,,,No Optical Drive,,,Battery Powered,Windows,5400 RPM,802.11bgn,10 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/80 W) GL613 with Accessories Box Gaming Laptop (16 inch, Grey, 1.99 kg)","59,990",https://www.amazon.in/Infinix-Book-Intel-Core-12450H/dp/B0DBM1FYRQ/ref=sr_1_1159?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1159&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Infinix,Infinix,GTBook,Grey,Laptop,,,16 Inches,1920 x 1200 pixels,1900 x 1200 Pixels,,,GL613 with Accessories Box,Intel,Core i5-12450H,2 GHz,8,Lpddr 5,16 GB,SSD,Speakers,Intel,Dedicated,GDDR6,Integrated,Wi-Fi,Windows 11 Home,7 Hours,,,,"LAPTOP, GT RGB HEADPHONES, POWER ADAPTER, GT RGB MOUSE + GT RGB MAT, USER GUIDE",China,1 kg 500 g,B0DBM1FYRQ,"4.0
3 ratings
4.0 out of 5 stars","#74,463 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,361 in Traditional Laptops",30-Jul-24,"No.3188-1 Yungu Road (Export Processing Zone),Hefei Economic & Technological Development area AnHui Province China","No.3188-1 Yungu Road (Export Processing Zone),Hefei Economic & Technological Development area AnHui Province China",,1 Count,Gaming Laptop,16,,512 GB,Solid State,NVIDIA GeForce RTX 3050,6 GB,54.5 x 35.5 x 21.8 cm; 1.5 kg,4.4 GHz,,2,1,,,,DTS Audio Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVITA Liber E 12th Gen Intel core i3 Upto 4.40 GHz 8GB RAM 512GB SSD Expandable Upto 2TB 10 MB Smart Cache Intel® UHD Graphics 15.6 FHD IPS Display Windows 11 Home Thin & Light Black 1.84 Kg,"29,149",https://www.amazon.in/AVITA-All-new-15-6-inch-Display-Charcoal/dp/B0CRVJBGLS/ref=sr_1_1160?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1160&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,AVITA,AVITA Technologies International Company Ltd,AM15A2INT56F-CHF,Charcoal,Laptop,42.8 Centimeters,33.8 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,9.2 x 33.8 x 42.8 cm; 1.84 kg,,,Intel,Intel Core i3,3.3 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Windows 11 Home,,,,,"Adapter,,,,,",China,1 kg 840 g,B0CRVJBGLS,"2.7
5 ratings
2.7 out of 5 stars","#69,581 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,185 in Traditional Laptops",29-Feb-24,Futopia Global Pvt Ltd,Futopia Global Pvt Ltd,9.2 x 33.8 x 42.8 Centimeters,1 Count,Laptop,,,512 GB,,,,,,1,2,,3.6 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 14s, 11th Gen Intel Core i3-1115G4, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.46 kg), dq2649TU","35,990",https://www.amazon.in/HP-i3-1115G4-Graphics-Speakers-dq2649TU/dp/B0BSKPDWQ8/ref=sr_1_1161?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1161&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,HP,HP,14s-dq2649TU,Natural Silver,Netbook,48.4 Centimeters,31.1 Centimeters,35.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,6.7 x 31.1 x 48.4 cm; 2.16 kg,1 Lithium Ion batteries required. (included),14s-dq2649TU,Intel,Core i3 Family,3.7 GHz,1,DDR4,8 GB,SSD,Headphones,Intel UHD,Integrated,VRAM,Integrated,Miracast,Windows 11 Home,9 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 160 g,B0BSKPDWQ8,"4.0
42 ratings
4.0 out of 5 stars","#53,235 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,588 in Traditional Laptops",18-Jan-23,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",6.7 x 31.1 x 48.4 Centimeters,1 Count,Laptop,8 GB,DDR4 SDRAM,512 GB,Solid State,Intel UHD Graphics,8 GB,,4.1 GHz,,2,1,41 Volts,,,Dual speakers,,,PC,7200 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Renewed) Dell Latitude Laptop E7480 Intel Core i5-6200u Processor 6th Gen, 16 GB Ram & 1TB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.37KG) Notebook Computer","27,290",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-E7480/dp/B09KH9SR48/ref=sr_1_1162?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1162&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Dell,Dell,E7480,,Notebook,2 Centimeters,23.5 Centimeters,14.1 Inches,1600x900,HD (1366 X 768) Pixels,34 x 23.5 x 2 cm; 1.37 kg,,E7480-i5-16-1TB-cr,Intel,Core i5-6260U,2.4 GHz,1,DDR4,16 GB,SSD,,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,,No,,,"laptop, charger",India,1 kg 370 g,B09KH9SR48,"1.0
1 rating
1.0 out of 5 stars","#71,357 in Computers & Accessories (See Top 100 in Computers & Accessories)
#8 in Handpicked | Amazon Renewed
#2,239 in Traditional Laptops",27-Oct-21,,,34 x 23.5 x 2 Centimeters,1.00 count,,16 GB,,1 TB,,,,,,2,1,,,,No Optical Drive,,,Battery Powered,Windows,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Firefly 16 inch G11/BZ MB WS ZB/Firefly 16 G11/DSC U7-155H/32GB/1TB SSD/RTX A500 4GB/Win11 Pro 64/3 Year Warranty(A1VX4PT),"1,42,000",https://www.amazon.in/HP-Firefly-U7-155H-Warranty-A1VX4PT/dp/B0DP4FX28W/ref=sr_1_1163?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1163&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,HP,HP india,HP ZBook Firefly 16 inch G11 Mobile Workstation PC,,,,,40.6,,,,,,Intel,Intel Core Ultra 7,4.8 GHz,1,DDR5,32 GB,SSD,,Intel,Integrated,DDR5 SDRAM,Integrated,,Windows 11 Professional,,,,,Laptop,China,1 kg 800 g,B0DP4FX28W,,"#76,884 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,442 in Traditional Laptops",27-Nov-24,"Microworld Infosol Pvt. Ltd. , Toll free number - 9560888401",HP india,,,Laptop,,,,,,,55.5 x 34.79 x 7 cm; 1.8 kg,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad T460 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics), Black","15,690",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DC4BVRMR/ref=sr_1_1164?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1164&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Lenovo,Lenovo,Lenovo ThinkPad T460,,Laptop,,,14 Inches,1366 x 768,1366 x 768 Pixels,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,2.3 GHz,1,DDR3,16 GB,SSD,Headphones,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows,,Yes,54 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DC4BVRMR,"2.6
13 ratings
2.6 out of 5 stars","#64,472 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,981 in Traditional Laptops",03-Aug-24,,,,1.00 count,,,,512 GB,,,,45.8 x 30.2 x 7.4 cm; 1.7 kg,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Vector GP68HX, Intel 13th Gen. i7-13700HX, 41CM QHD+ 240Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR6 8GB/Cosmos Grey/2.67Kg), 13VG-214IN","1,60,990",https://www.amazon.in/MSI-i7-13700HX-Windows-GeForce-13VG-214IN/dp/B0D8PV9LND/ref=sr_1_1165?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1165&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,MSI,MSI,Vector GP68HX,Cosmos Gray,Laptop,,,41 Centimetres,2560 x 1600 pixel,,,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i7,1.5 GHz,1,DDR5,64 GB,SSD,,NVIDIA,Dedicated,GDDR6,PCI Express,Wi-Fi,Windows 11 Home,,Yes,,4,"Laptop,Power Adapter,User Guide",China,2 kg 670 g,B0D8PV9LND,,"#71,238 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,233 in Traditional Laptops",03-Jul-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India.",,1 Count,Laptop,16,,,,NVIDIA GeForce RTX 4070,8 GB,59.6 x 38.7 x 10.8 cm; 2.67 kg,,,4,,13 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15s 11th Gen Intel Core i3-8GB RAM/512GB SSD 15.6 inch(39.6 cm) Laptop, HD, Micro-Edge Display/Windows 11/ MS Office/Natural Silver/ 1.75kg - 15s-du3564TU","37,990",https://www.amazon.in/HP-Micro-Edge-Display-Windows-Natural/dp/B09KLZJDT6/ref=sr_1_1166?dib=eyJ2IjoiMSJ9.29tCMqqgEigSncP0Q_tkVl5oT78welEE2qZmEEmM1hvCdzluY9yWx4Hz_7Z3SZ7Kb1yfn9Qx0Er4VSaIcpvywOq5__-vjOfY-olYbOxcYPt62IrdHXZU0-IsZYRLQedW1BuMZUXu6PM61ErdaF6n2toJIxMCqoUAFZW7mDuIcPzY8OppLIFNoPqiVSsYjhc-Gndg5-aJigjauL6ZoHm5y-Nvme3XYs6bac6t4uSY3zkgWggP62b1unYbucVt5Y5Rq2r9pcl8q-0gu6hXQJawUwQGjcKF4DahXS7H6aKJjaAdF1g8l8CwyMyvS0gx5fuhIhwDyC-f5oQZ0BUiYHD25w2KScCT5pzLqkG7wBENyxQ.Mns1yW5hggA9inOBqMWjQnYhy5L4lNg6hjNG1kWq2KQ&dib_tag=se&qid=1737660619&s=computers&sr=1-1166&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,HP,HP,HP Laptop,Natural Silver 11th Gen Ci3,Laptop,20 Millimeters,24.2 Centimeters,39.6 Centimetres,,1366 x 768 Pixels,35.9 x 24.2 x 2 cm; 1.75 kg,1 Lithium Ion batteries required. (included),15s-du3564TU,Intel,Core i3,3.7 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,4 Hours,Yes,,3,"Laptop, Power adaptor",India,1 kg 750 g,B09KLZJDT6,"4.1
348 ratings
4.1 out of 5 stars","#51,039 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,504 in Traditional Laptops",28-Oct-21,"SG69 - Compal NO. 15, THIRD AVENUE, A ZONE, KUNSHAN COMPREHENSIVE FREETRADE ZONE, KUNSHAN, JIANGSU, CHINA","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",35.9 x 24.2 x 2 Centimeters,1 Pack,Laptop,8 GB,,,Solid State,Intel UHD Graphics,,,,,2,1,11.25 Volts,,No Optical Drive,Dual Speakers,,Battery Powered,,,802.11a/b/g/n/ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
