title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Number of Lithium Metal Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Net Quantity,info_Generic Name,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Hard Drive Size,tech_Optical Drive Type,info_Customer Reviews,info_Item Dimensions LxWxH,tech_RAM Size,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Average Battery Life (in hours),tech_Front Webcam Resolution,tech_Power Source,tech_Number of USB 2.0 Ports,tech_Number of HDMI Ports,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Platform,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Wattage,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Hard Disk Rotational Speed,tech_Average Battery Standby Life (in hours)
"ASUS ROG Ally X Handheld Gaming Console, 7"" FHD 16:9 120Hz 500 nits, AMD Ryzen Z1 Extreme Processor (24GB RAM/1TB SSD/AMD Radeon Graphics/Windows 11 Home/Black/678 g), RC72LA-NH021W","89,990",https://www.amazon.in/ASUS-Ally-Handheld-Gaming-Console/dp/B0D9BLFKJQ/ref=sr_1_290?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-290&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,ROG Ally X,Black,,7 Inches,,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),RC72LA-NH021W,AMD,Z-series Dual-Core Z-01,5.1 GHz,8,LPDDR5X,24 GB,SSD,,,AMD,Dedicated,GDDR6,PCI Express,,Windows 11 Home,Yes,,,4,,ROG Ally X,,678 g,B0D9BLFKJQ,"#22,561 in Computers & Accessories (See Top 100 in Computers & Accessories)
#654 in Laptops",5 August 2024,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Handheld Gaming Device,29 Centimeters,13.1 Centimeters,12.9 x 13.1 x 29 cm; 678 g,,No Optical Storage,"4.2
8 ratings
4.2 out of 5 stars",12.9 x 13.1 x 29 Centimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion x360 2-in-1 Laptop Intel® Core i7-1355U / 35.6 cm (14 inch) FHD,multitouch-Enabled, IPS,5 MP Camera,(16GB /512 GB/Intel® Iris® Xᵉ Graphics/Win 11/B&O/Backlit Keyboard/MSO),14-ek1021TU","94,990",https://www.amazon.in/HP-Pavilion-x360-multitouch-Enabled-14-ek1021TU/dp/B0CBBWW9YW/ref=sr_1_291?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-291&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,HP,HP,HP Pavilion x360 2-in-1 Laptop 14-ek1021TU,Natural Silver,Convertible,35.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),HP Pavilion x360 14-ek1021TU,Intel,Core i7,5 GHz,1,DDR4,16 GB,SSD,USB-C,"Headphones, Speakers",Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,43 Watt Hours,,3,,"Laptop, charger",China,1 kg 510 g,B0CBBWW9YW,"#14,437 in Computers & Accessories (See Top 100 in Computers & Accessories)
#431 in Traditional Laptops",7 July 2023,"SG68- Wistron Wistron Infocomm ( Chongqing) Co.Ltd., No.18-9, Baohong Avenue, Wangjia Sub-District, Yubei District, Chongqing (China)","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",,HP Pavilion x360 2-in-1 Laptop 14-ek1021TU,45 Centimeters,30.6 Centimeters,7 x 30.6 x 45 cm; 1.51 kg,512 GB,,"4.1
50 ratings
4.1 out of 5 stars",7 x 30.6 x 45 Centimeters,16 GB,DDR4 SDRAM,2666 MHz,"Audio by Bang & Olufsen, dual stereo speakers",integrated,16 GB,Bluetooth,2,240 Volts,14 Hours,,,1,1,,,,,,,,,,,,,,,,,,,,,,43 Watt Hours,,,,,,,,,,,,,,,
(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel HD Graphics),"16,799",https://www.amazon.in/Refurbished-Lenovo-T470-Touchscreen-Bluetooth/dp/B0DJ18SY5Z/ref=sr_1_292?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-292&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,Lenovo ThinkPad,black,Clamshell,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,45 x 35 x 15 cm; 1.7 kg,1 Lithium Ion batteries required. (included),T470,Intel,Intel Core i5,2.5 GHz,1,DDR4,16 GB,SSD,Solid State,"Internal, Headphones",Intel,Integrated,Shared,,Bluetooth,Windows,Yes,55 Watt Hours,,3,,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DJ18SY5Z,"#16,328 in Computers & Accessories (See Top 100 in Computers & Accessories)
#11 in Mega Offers on Renewed products
#473 in Traditional Laptops",26 September 2024,,,1.00 count,,,,,256 GB,,"3.4
61 ratings
3.4 out of 5 stars",,,DDR4 SDRAM,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) Lenovo ThinkPad T480 Intel Core i7 8th Gen 14-inch Full HD Thin and Light Laptop (8GB RAM/ 256 GB SSD/ Windows 10 Pro/ Black/ 1.58 kg),"16,100",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-T480-14-inch/dp/B0DHS6SNT6/ref=sr_1_293?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-293&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,Lenovo ThinkPad T480,Black,Traditional Clamshell,14 Inches,1920 x 1080 pixels,1920x1080,48.1 x 30.7 x 7.4 cm; 2.57 kg,1 Lithium Ion batteries required. (included),T480,Intel,Intel Core i7,4 GHz,1,DDR4,8 GB,SSD,Serial ATA,internal,Intel,Integrated,Shared,,,Windows,Yes,55 Kilowatt Hours,,3,,Laptop and Charger,,2 kg 570 g,B0DHS6SNT6,"#5,553 in Computers & Accessories (See Top 100 in Computers & Accessories)
#20 in Renewed Black Friday and Cyber Monday Sale
#181 in Traditional Laptops",23 September 2024,,,1.0 Piece,Laptop,,,,256 GB,,"2.7
3 ratings
2.7 out of 5 stars",,,DDR4 SDRAM,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 7440 Thin & Light Laptop, Intel Core i7-13620H Processor, 16GB DDR5 + 512GB SSD, 14"" (35.52cm) FHD+ 250nits Display, Backlit KB + FPR, Win 11 + MSO'21, 15 Months McAfee, Ice Blue, 1.60kg","85,490",https://www.amazon.in/Dell-Inspiron-7440-i7-13620H-Processor/dp/B0D83D32DK/ref=sr_1_294?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-294&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Dell,Dell India Pvt. Ltd.,Inspiron 7440,Ice Blue,Laptop,14 Inches,1920 x 1080 pixel,,40.29 x 35.4 x 6.7 cm; 1.6 kg,1 Lithium Ion batteries required. (included),inspiron 7440,Intel,Core i7,4.9 GHz,1,DDR5,32 GB,SSD,Solid State,Headphones,Intel,Integrated,DDR5 SDRAM,Integrated,Bluetooth,Windows 11 Home,Yes,54 Watt Hours,,4,,Laptop | Adapter | User Manual,,1 kg 600 g,B0D83D32DK,"#15,793 in Computers & Accessories (See Top 100 in Computers & Accessories)
#455 in Traditional Laptops",26 June 2024,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,1 Piece,Laptop,,,,512 GB,No Optical Storage Device,"3.8
18 ratings
3.8 out of 5 stars",,16,,,,,,Bluetooth,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256GB PCIe SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black","22,990",https://www.amazon.in/Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTL9QRF/ref=sr_1_295?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-295&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,Lenovo V15,Black,laptop,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,53.2 x 33 x 7.3 cm; 1.7 kg,,Lenovo V15 G2,Intel,Celeron N,1.1 GHz,2,DDR4,8 GB,SSD,Solid State,Headphones,Intel,Integrated,Shared,,Wi-Fi,Windows 11 Home,,,,,,,,1 kg 700 g,B0CVTL9QRF,"#16,277 in Computers & Accessories (See Top 100 in Computers & Accessories)
#466 in Traditional Laptops",21 July 2024,,,,,,,,256 GB,,"3.2
35 ratings
3.2 out of 5 stars",,16 GB,DDR4 SDRAM,,,Intel UHD Graphics,,802.11ac,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad L440 4th Gen Intel Core i7 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/BT/Webcam/Intel Graphics)","14,999",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0DC46B9B9/ref=sr_1_296?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-296&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,Lenovo ThinkPad L440,,Laptop,14 Inches,,1366 x 768 Pixels,45 x 35 x 15 cm; 2.4 kg,1 Lithium Ion batteries required. (included),,Intel,Intel Core i7,2.9 GHz,1,DDR3,16 GB,SSD,,Headphones,Intel,Integrated,Shared,,"Bluetooth, Wi-Fi",Windows,Yes,54 Watt Hours,,3,,"Laptop, Power Cord, Battery",,2 kg 400 g,B0DC46B9B9,"#18,720 in Computers & Accessories (See Top 100 in Computers & Accessories)
#544 in Traditional Laptops",3 August 2024,,,1.00 count,,,,,,,"3.7
8 ratings
3.7 out of 5 stars",,,,,,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 24GB Unified Memory, 512GB) - Midnight","1,47,990",https://www.amazon.in/Apple-MacBook-13-inch-10%E2%80%91core-Unified/dp/B0DLHFS9L6/ref=sr_1_297?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-297&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,,Apple,,,,,,,37.79 x 28.6 x 8.2 cm; 1.24 kg,,MC8Q4HN/A,,,,,,,,,,,,,,,,,,,,,,China,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 Count,"13-inch MacBook Air (M3, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0DLHFS9L6,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 240 g,"13-inch MacBook Air with M3 chip 1N, USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m) 1N",,
"(Refurbished) Lenovo ThinkPad T495 | AMD Ryzen 7 Pro 3700U | 14"" FHD TouchScreen Display | 16 GB DDR4 RAM | 512 GB M.2 SSD | Radeon Vega Mobile Graphics","24,999",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-T495-TouchScreen/dp/B0DJR5D1KL/ref=sr_1_298?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-298&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,Lenovo Thinkpad,,Clamshell,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,45 x 30 x 7 cm; 1.54 kg,,T495,AMD,AMD Ryzen 7,2.3 GHz,1,DDR4,16 GB,SSD,,,AMD,Integrated,Shared,,,Windows 11 Pro,,,,,,"Laptop, Power Cord, Battery",,1 kg 540 g,B0DJR5D1KL,"#15,724 in Computers & Accessories (See Top 100 in Computers & Accessories)
#468 in Traditional Laptops",9 October 2024,,,1.00 count,,,,,512 GB,,"2.7
3 ratings
2.7 out of 5 stars",,,DDR4 SDRAM,,,,,Bluetooth,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Chromebook CM14, Octa-Core MediaTek Kompanio 520, 14"" (32.46 Cms) FHD, Thin and Light Chromebook (8GB RAM/128GB eMMC Storage/Chrome OS/Gray/1.45 Kg), CM1402CM2A-NK0129","24,990",https://www.amazon.in/ASUS-Chromebook-Octa-Core-MediaTek-CM1402CM2A-EK0085/dp/B0CQLRHSS3/ref=sr_1_299?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-299&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,ASUS CHROMEBOOK_WO,Gray,Chromebook,35.56 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),CM1402CM2A-NK0129_WO,MediaTek,MediaTek Kompanio 520,2 GHz,8,LPDDR4X,8 GB,"Emmc, SSD",,Speakers,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Chrome OS,Yes,42 Watt Hours,,2,,"Laptop, Manual, TYPE-C 45W AC Adapter",China,1 kg 450 g,B0CQLRHSS3,"#14,416 in Computers & Accessories (See Top 100 in Computers & Accessories)
#430 in Traditional Laptops",18 December 2023,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme Chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Chromebook,45.5 Centimeters,29.9 Centimeters,7.3 x 29.9 x 45.5 cm; 1.45 kg,,No Optical Storage,"3.3
10 ratings
3.3 out of 5 stars",7.3 x 29.9 x 45.5 Centimeters,,DDR4 SDRAM,,Built-in speaker,ARM Mali-G52 MC2,,"Bluetooth, 802.11ax",3,15 Volts (DC),15 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo V14 G4 AMN (82YTA00TIN) AMD Ryzen 3 7320U/8GB DDR5/512 GB/Dos/14 FHD/1 Yr,"24,590",https://www.amazon.in/Lenovo-82YTA00TIN-Ryzen-7320U-DDR5/dp/B0DDCMW18F/ref=sr_1_300?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-300&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,V14 G4 AMN,Arctic grey,Netbook,14 Inches,1920 x 1080 pixels,1920 x 1080,45.4 x 29.2 x 6.8 cm; 1.37 kg,,,AMD,Ryzen 3,3.5 GHz,1,DDR5,16 GB,SSD,,,AMD,Integrated,DDR5 SDRAM,Integrated,Wi-Fi,DOS,,,,,,Power adaptor,India,1 kg 370 g,B0DDCMW18F,"#8,564 in Computers & Accessories (See Top 100 in Computers & Accessories)
#271 in Traditional Laptops",16 August 2024,"Ferns Icon Level2 Doddenakundi Village Marathhalli Outer Ring Road, Marathhalli Post, KR Puram Hobli BANGALORE KA IN 560037","Ferns Icon Level2 Doddenakundi Village Marathhalli Outer Ring Road, Marathhalli Post, KR Puram Hobli BANGALORE KA IN 560037",,Laptop,,,,512 GB,CD-ROM,,,,DDR5 RAM,,,AMD Radeon Graphics,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
